text,ade,term_PT
@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,zap noises,paraesthesia
@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,comedown is hell,drug withdrawal syndrome
i've had a trazodone headache all day. i heard they go away within a week. #hopeso #iactuallyslept,headache,headache
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",drunk,feeling drunk
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",staggering,gait disturbance
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",blurry-eyed,vision blurred
"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now",amnesic,memory impairment
i'm not sure if seroquel is helping us or making things even worse.. anyone else knows if it can make dissociation worse?,dissociation,dissociation
the effexor dreams have taken a terrifying turn. ugh.,dreams,abnormal dreams
@theonlywayisgay fluoxetine.  killed my libido stone dead.,killed my libido,loss of libido
"hello, world! quetiapine zombie this morning and i have a work call in about 45 minutes. perfect combination.",zombie,feeling abnormal
@bobsmithno6 i've found that it's okay to stop dead with prozac but not fluoxetine - i got terrible paraesthesia; it felt as though i was,paraesthesia,paraesthesia
"@melzter777 that's how i felt about humira. when it stopped working, i had a whole summer in and out of the hospital",stopped working,tachyphylaxis
@rayvenmental yeah the first time i was on olanzapine i did not put much weight on but 2nd time i did! weird!,put much weight on,weight increased
forgetting to take meds then having a day feeling like absolute shit. fluoxetine u r shit,feeling like absolute shit,malaise
21.43 day 25 rivaroxaban diary. think all rvxbn nowq out of my body but losartan (last 25mg tablet taken 4 days ago) remains. still aching.,aching,pain
"just about dead, think it's bedtime.. fuck you quetiapine",just about dead,somnolence
@thebloggess your lucky! i have to do infusions of remicade for my ra. i would happily do humera or enbrel if it didnt make me stop breathin,stop breathin,dyspnoea
i can go without nicotine for a few day but by the time the third day comes around i want to rip out my teeth,rip out my teeth,agitation
"i'm too numb to feel, blow out the candle, blindness #np #cymbalta",numb to feel,emotional poverty
cymbalta tore up our stress incontinence agreement first!  it?s like niagara falls when i cough.,stress incontinence,stress urinary incontinence
cymbalta tore up our stress incontinence agreement first!  it?s like niagara falls when i cough., like niagara falls when i cough,urinary incontinence
new dx: dysthymia. start seroquel (which i've had before. it zombified me iirc).,zombified,feeling abnormal
15.15 rivaroxaban diary day 24.  pains easing all the time. didn't take losartan yesterday. will get bp and hopefully inr checked today.,pains,pain
"@xyle50ul my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them",feet are always going,restlessness
"@xyle50ul my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them",twirls her hair constantly,compulsions
cymbalta withdrawal &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,withdrawal,withdrawal syndrome
and quetiapine makes you gain weight i'm scared,gain weight,weight increased
"@vanessalovesjk because my dr switched from celexa to paxil and,paxil made me feel sick",sick,malaise
@annchildersmd interesting! my experience with patients taking seroquel is massive weight gain.,weight gain,weight increased
pop a trazodone i have fuckin dry mouth,dry mouth,dry mouth
i am way too hyper to go home and do nothing tonight :( damn prozac &gt;.&lt;,hyper,psychomotor hyperactivity
"so, i lasted 16 days on seroquel. i couldn't handle the awful side effects. constantly dizzy and lightheadeded &amp; a myriad of other bad stuff",dizzy,dizziness
"so, i lasted 16 days on seroquel. i couldn't handle the awful side effects. constantly dizzy and lightheadeded &amp; a myriad of other bad stuff",lightheadeded ,dizziness
i wonder if seroquel /then/ food still equals restless legs,restless legs,restless legs syndrome
"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week.",blood pressure dropped,blood pressure decreased
"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week.",couldn?t walk,gait inability
whoa quetiapine stop making me feel drowsy yo,drowsy,somnolence
@blednos lamictal and trileptal and seroquel...of course the seroquel i take in severe situations because gaining weight is never cool,gaining weight,weight increased
"@sapphire20 to it, and now i'm on humira with just the bloat to battle. things sometimes get super shitty in every sense. but stay strong xx",bloat,abdominal distension
day 6 cold turkey from effexor. i bellevue this pic adequately represents my descent into madness. or whatever. http://t.co/v7miglato6,descent into madness,mental impairment
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",swollen lower legs,peripheral swelling
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",back pain,back pain
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",fluid retention,fluid retention
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",aches,pain
vyvanse makes me having the sleeping schedule of a fucking vampire.,sleeping schedule of a fucking vampire,insomnia
"2/2 blood tests scheduled. bp normal now have own coaguckek machine. still aches and pains, legs better. taking codeine rivaroxaban losartan",aches,pain
"2/2 blood tests scheduled. bp normal now have own coaguckek machine. still aches and pains, legs better. taking codeine rivaroxaban losartan",pains,pain
i need to stop the vyvanse that shit can fuck with your head,fuck with your head,mental impairment
the only bad thing about vyvanse is the awful headache you get when it's starting to wear off ?,headache,headache
"@chavielle i has beta blockers now, apparently the fluoxetine can cause panic attacks ^_^",panic attacks,panic attack
@sarahcherry88 @mycuriousmind i didn't find it any more sedative than just venlafaxine alone. prob a little less so :),sedative,sedation
brisdelle dangerous. paxil is supposed to treat depression and suicidal thoughts.  i took paxil and got depressed. went off &amp; ok in 2 wk.,depressed,depression
"i swear, since i went on lamotrigine, i've become dyslexic..what the fuck is up with that?",dyslexic,dyslexia
@electrosocket i was on enbrel for 8 years have since developed neuro problems (ataxia) wish id never taken it side effects not worth risks,ataxia,ataxia
@electrosocket i was on enbrel for 8 years have since developed neuro problems (ataxia) wish id never taken it side effects not worth risks,neuro problems,nervous system disorder
"starting humira tomorrow. :) i wonder if it will make me tired for a day or so like remicade did. if it works, it's worth it.",tired,fatigue
@katelynjoyy the aythromicyn didn't work so i'm back on cipro which is what caused my septic c diff in sept.,septic c diff,clostridial sepsis
a big ol' fuck you to my doctor for not telling me a side effect of metoprolol was depression. just wait until i see you friday -.-,depression.,depression
my tremors are horrible. fuck seroquel.,tremors,tremor
i don't know if vyvanse was a good idea #nosleep,nosleep,insomnia
"@karims3d olanzapine actually makes you put on weight, even when you aren't eating that much",put on weight,weight increased
"@almostwell my blood pressure is fine, but my heart started lurching two weeks ago. savella didn't work for me, yeah. cymbalta rules!",heart started lurching,heart rate irregular
all i have to say is cipro will mess you up kids. don't get sick! #blagh #gross #weak,weak,asthenia
guess i'm allergic to cipro...,allergic,drug hypersensitivity
bloody dreadful nights sleep= joint pain. combination of sitting all day in training and full therapeutic dose of lamotrigine,dreadful nights sleep,sleep disorder
bloody dreadful nights sleep= joint pain. combination of sitting all day in training and full therapeutic dose of lamotrigine,joint pain,arthralgia
fluoxetine makes me see shapes when i close my eyes,see shapes,visual impairment
"oh, and i forgot that with lamotrigine come awful night terrors. i woke up no fewer than five times screaming and sweaty. #lol",night terrors,sleep terror
@eesullivan i had allergic reaction from enbrel.,allergic reaction ,hypersensitivity
"@spicynyx i think i'm that too! had rare breastmilk production on quetiapine, ultra rare hallucinations (not psychosis) on valproate.",hallucinations,hallucination
"@spicynyx i think i'm that too! had rare breastmilk production on quetiapine, ultra rare hallucinations (not psychosis) on valproate.",breastmilk production,galactorrhoea
@nicolapow i?d consider restarting the venlafaxine today but it was messing with my sleep big time :( i?ll go back to dr x,messing with my sleep,sleep disorder
"@sleazeballz @kanako_ukfur was on lamotrigine for about 5 months, got taken off them due to a rash on my elbow :/ now i feel more meh",rash,rash
@pk_money i took a vyvanse and drank a 12oz redbull this morning. my heart was hurting a lil bit haha,heart was hurting,chest pain
@iamcarrieeeeee not eating that badly but portions prob too big. quetiapine a factor. think i'd be ok with gentle exercise but not vigorous,portions prob too big,hyperphagia
@brain_opera i had to taper myself down. i think the seroquel gave me lasting sleep paralysis. i've had it ever since.,sleep paralysis,sleep paralysis
@jkimberlinn im on cypro . actually in dying on cypro,dying,feeling drunk
"@copelong30 had a migraine, asked him for medicine, he's sitting there like ""that's what you get! nicotine withdrawals!"" like fuck dad.",withdrawals,withdrawal syndrome
"@copelong30 had a migraine, asked him for medicine, he's sitting there like ""that's what you get! nicotine withdrawals!"" like fuck dad.",migraine,migraine
@ana_3033 fluoxetine give me headaches and makes me yawn 24/7,headaches,headache
@ana_3033 fluoxetine give me headaches and makes me yawn 24/7,yawn,yawning
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/8gj415gas5,allergic reaction,hypersensitivity
80.sevenkg. not good at all. seroquel will do it's best to make those numbers bigger so now i have to really watch what i eat.,make those numbers bigger,weight increased
"oh, what a great idea watching gordan ramsay cook at 4am when i'm hungry from my seroquel.",hungry,hunger
i've been on paxil for 10 years for depression/anxiety and at first it used to help but i guess i've built up tolerance and i come too fast.,tolerance,tachyphylaxis
i've been on paxil for 10 years for depression/anxiety and at first it used to help but i guess i've built up tolerance and i come too fast.,come too fast,premature ejaculation
my 3 favourite things about fluoxetine are: it doesnt work as an antidepressant. increases suicidal thoughts. it stops you from jizzing.,stops you from jizzing,anorgasmia
my 3 favourite things about fluoxetine are: it doesnt work as an antidepressant. increases suicidal thoughts. it stops you from jizzing.,suicidal thoughts,suicidal ideation
@aquafare the only things i know i'm allergic to are sulfa drugs and ciprofloxacin.,allergic,drug hypersensitivity
"amateur porn tips: take vyvanse! after two hours of continuous shitting, you'll be ready for anal with no embarrassing poo accidents! ?",continuous shitting,frequent bowel movements
i'd rather be on the effexor that made me happy though i had severe back pain from it.. than sad and crying for no reason on lexapro....,back pain,back pain
i'd rather be on the effexor that made me happy though i had severe back pain from it.. than sad and crying for no reason on lexapro....,sad,depressed mood
i'd rather be on the effexor that made me happy though i had severe back pain from it.. than sad and crying for no reason on lexapro....,crying,crying
"only one day in and mirtazapine is like fluoxetine all over again, it just makes me so tiered",tiered,fatigue
@sarahchoueiry @crohns_twins i also have nuasea and low grade temp and on #humira should i go check it out??,nuasea,nausea
@sarahchoueiry @crohns_twins i also have nuasea and low grade temp and on #humira should i go check it out??,low grade temp,body temperature increased
@privacy625 @sandycolon25 the seroquel is addictive a d they deny it.,addictive,drug dependence
my breath smells awful (thanks vyvanse) anyone have gum,breath smells,breath odour
"@milynda lamictal makes you sleepy at night, but i take it around 10 or so. once you get in the system, you start falling asleep normally.",sleepy,somnolence
@jessielee122 you can say that again!  i trusted my doc and ended up crippled thanks to just 12 cipro pills.  going on 4 years now.,crippled,disability
"@silkwould smh. lmao paxil was my first, i just stopped effexor (the headaches were a nightmare)",headaches,headache
"@silkwould smh. lmao paxil was my first, i just stopped effexor (the headaches were a nightmare)",headaches ,headache
today's pristiq withdrawal symptom: my eyeballs make a sound like star trek doors when i move them. #wtf,eyeballs make a sound,hyperacusis
today's pristiq withdrawal symptom: my eyeballs make a sound like star trek doors when i move them. #wtf,withdrawal,withdrawal syndrome
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/sqdtqpucgn,allergic reaction,hypersensitivity
"@opium_district i've been having them today too, three days without effexor. i completely understand what you mean. every hit, lightheaded..",lightheaded,dizziness
just had a marathon sleep past 24hrs on new dose of #duloxetine -hope my liver will be ok on it.woke with stressy tummy pains. #sideeffects,tummy pains,abdominal pain
just had a marathon sleep past 24hrs on new dose of #duloxetine -hope my liver will be ok on it.woke with stressy tummy pains. #sideeffects,sleep past 24hrs,somnolence
"i've had no appetite since i started on prozac, i guess that's a good thing",no appetite,decreased appetite
"um yay venlafaxine set off a mixed episode. calming down now after weeks, now back to the depression of before. yay indeed",mixed episode,bipolar i disorder
"20.05 day 16 rivaroxaban diary. intense back and knee pain most of day;  taken more paracetamol. had to shop, walking painful.",back,back pain
"20.05 day 16 rivaroxaban diary. intense back and knee pain most of day;  taken more paracetamol. had to shop, walking painful.",walking painful,gait disturbance
"20.05 day 16 rivaroxaban diary. intense back and knee pain most of day;  taken more paracetamol. had to shop, walking painful.",knee pain,arthralgia
@scrabalisios i hav to come of the duloxetine immediately as i hav a terrible rash because of it! had the rash 2 weeks,rash,rash
"gotta find an alternative to vyvanse, asap. i'd rather be sleepy &amp; happy, than alert &amp; depressed!",depressed,depression
this vyvanse is keeping me up tho but i want to sleep,keeping me up,insomnia
i'm so irritable when my vyvanse wears off #fuckkk,irritable,irritability
just took seroquel. now i'm freaking out that i will end up sleeping 15 hrs and miss my 12pm appt tomorrow,sleeping 15 hrs,hypersomnia
i have been on lorazepam / diazepam / quetiapine for the past few nights and i've noticed i am slightly drooling a bit. lovely.,drooling,drooling
@harrydfish @deltrimental joe is on pristiq and he gets weird brain zap / twitch things too.,twitch,muscle twitching
@harrydfish @deltrimental joe is on pristiq and he gets weird brain zap / twitch things too.,brain zap,paraesthesia
"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon.",puking,vomiting
"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon.",throat is raw,throat irritation
"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon.",headache,headache
"day has been a right off. missed opticians&amp;slept aw day. sitting here torn faced, wi greasy hair&amp;unwashed. swollen feet thx to olanzapine.",torn faced,irritability
"day has been a right off. missed opticians&amp;slept aw day. sitting here torn faced, wi greasy hair&amp;unwashed. swollen feet thx to olanzapine.",slept aw day,somnolence
"day has been a right off. missed opticians&amp;slept aw day. sitting here torn faced, wi greasy hair&amp;unwashed. swollen feet thx to olanzapine.",swollen feet,peripheral swelling
i ain't trying to take this seroquel yet. i'm not ready to be sedated and completely unconscious till tomorrow.,unconscious,somnolence
i ain't trying to take this seroquel yet. i'm not ready to be sedated and completely unconscious till tomorrow.,sedated ,sedation
"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit",fever,pyrexia
"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit",convulsions,seizure
"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit",toxic reactions,toxicity to various agents
"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit",psychotic reactions,psychotic behaviour
i lost 17 pounds on vyvanse &amp; that's why life is wonderful,lost 17 pounds,weight decreased
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",nausea,nausea
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",headache,headache
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",diarrhea,diarrhoea
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",withdrawal,withdrawal syndrome
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",sweats,hyperhidrosis
"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",flu symptoms,influenza like illness
"dear alternative medicine aficionados, don't do intra-nasal acupuncture when you're on effient and aspirin. #nightmare #bloodbath",bloodbath,haemorrhage
i can't wait to go get my anti nauaea meds tonight. i feel like shit. humira is definitely kicking my ass but my skin lools great.,kicking my ass,malaise
i can't wait to go get my anti nauaea meds tonight. i feel like shit. humira is definitely kicking my ass but my skin lools great.,nauaea,nausea
i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,irritated,irritability
i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,can't think as fast,bradyphrenia
going off paxil cr cold turkey is something you should never ever do if you value your brain cells.,value your brain cells,memory impairment
i've decided i'm really not happy with the pain lamotrigine is causing or the poor sleep. i am thinking of asking for a trial of prozac and,pain,pain
i've decided i'm really not happy with the pain lamotrigine is causing or the poor sleep. i am thinking of asking for a trial of prozac and,poor sleep,poor quality sleep
"@archangelolill isn't zyprexa also called olanzapine, if so ppl need to be careful of side effects &amp;addiction, can do more harm than good",addiction,dependence
i feel siiiiiiiiiiiiiiick. damn you venlafaxine.,siiiiiiiiiiiiiiick,malaise
@luckystubbs i take way too much zoloft and seroquel to get the horn my life is a lie,get the horn my life,loss of libido
every since i stopped taking that paxil i haven't been so damn emotional ..... i think!,emotional,affect lability
@caseygrin i used to take trazodone. made me sleep for dayyssss,sleep for dayyssss,hypersomnia
@stacymadern thats the prob with zyprexa its for ppl with bi-polar or schizophrenia its really strong when you wake up your drowsy for 6 hrs,drowsy,somnolence
"welll..decided to get off paxil. withdrawals are killlerrr, like loss of circulation randomly in areas.",withdrawals,withdrawal syndrome
"welll..decided to get off paxil. withdrawals are killlerrr, like loss of circulation randomly in areas.",loss of circulation ,poor peripheral circulation
@mizbergy that's the hardest part: difficult to willingly self-inflict pain. #humira #rheum,pain,pain
@dystoniasociety i would like to know what everyone else's experience are of baclofen and clonazepam. do they get dry nose / throat?,throat,dry throat
@dystoniasociety i would like to know what everyone else's experience are of baclofen and clonazepam. do they get dry nose / throat?,dry nose,nasal dryness
holy shit balls pristiq withdrawals are very strong!,withdrawals,withdrawal syndrome
boniva would've been better properly named as an erectile dysfunction drug.,erectile dysfunction,erectile dysfunction
@psychiatrysho partly true but olanzapine is the worst ever for inducing carb cravings for some unfortunate ppl serequel and clozaril a 2nd, carb cravings,food craving
@psychiatrysho partly true but olanzapine is the worst ever for inducing carb cravings for some unfortunate ppl serequel and clozaril a 2nd,carb cravings,food craving
"@dearabbygail yeah, ambien is also addictive, so short term is the goal. ask about seroquel? tell the doc about all the health stuffs though",addictive,drug dependence
"@mycuriousmind not that i ever noticed. i was taking it with venlafaxine, and it definitely made me drowsy",drowsy,somnolence
going to bed with a nicotine patch on... i really hope i don't have a nightmare.......,nightmare,nightmare
"@mesgreene i lost effectiveness on humira, and then methotrexate was added and it was like going back to starting the drug.",lost effectiveness,tachyphylaxis
@cardiwithpearls enjoy :) haha. i take it + seroquel + klonopin every night for sleep. it can make me very loopy sometimes!,loopy,feeling abnormal
@missynomatter i was on quetiapine and gained 40lbs &lt;wall&gt; so i am not even trying olanzapine. they gave me abilify cause it not supposed to,gained 40lbs,weight increased
@nanamack69 i'm here been in a seroquel coma lol,coma,somnolence
@flatchests it has nothing to do with any of that~ apparently seroquel makes you gain alot of weight -__-,gain alot of weight,weight increased
wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!,shivering,chills
wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!,withdrawal,withdrawal syndrome
wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!,limbs ached,pain in extremity
@posaware my t cell went up w ith humira i also have crohns disease.   i wish u guys had more articles with people like me in it,t cell went up,white blood cell count increased
note to self - nicotine lozenge &amp; alcohol = nausea.,nausea,nausea
"@authoredkurtz oh, it sucks, but try doing snri withdrawal. they had to put me on a whole other drug just to get me off effexor. :(", withdrawal,withdrawal syndrome
cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,mouth is painfully dry,dry mouth
cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,feels like the sahara desert in my mouth,dry mouth
cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,thirsty,thirst
@synapsid with effexor if i miss one day i am dizzy and wrecked,dizzy,dizziness
@synapsid with effexor if i miss one day i am dizzy and wrecked,wrecked,malaise
"dear seizure buddies, never ever take vimpat. side effects &amp; withdrawals are quite fucking hideous. love, meh xoxo",withdrawals,withdrawal syndrome
@thatjunkiechick thank you! coming off effexor is not fun!,coming off effexor is not fun,withdrawal syndrome
not hungry but eating anyway. thank you quetiapine you utter cunt.,eating,increased appetite
@fergusonelaine @psychiatrysho recent spell in hospital and olanzapine sloth/weight gain,sloth,sluggishness
@fergusonelaine @psychiatrysho recent spell in hospital and olanzapine sloth/weight gain,weight gain,weight increased
"@fragileannie @meilufay i tried baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain.",worsening pain,pain
"@burberrywife sometimes it never ends. so sorry. topomax is miserable with parasthesia, cognitive problems, kidney stones. lamictal's good",kidney stones,nephrolithiasis
"@burberrywife sometimes it never ends. so sorry. topomax is miserable with parasthesia, cognitive problems, kidney stones. lamictal's good",cognitive problems,cognitive disorder
"@burberrywife sometimes it never ends. so sorry. topomax is miserable with parasthesia, cognitive problems, kidney stones. lamictal's good",parasthesia,paraesthesia
"@r00shoes ""eh whatever"" was me for years on paxil cr, years 14-18. better than ""everything sucks i wanna die"" but i still had days like that",eh whatever,apathy
slept 11 hours last night on seroquel o.o,slept 11 hours,hypersomnia
"@marcello i had to take paroxetine tablets for a year nd a side effect is weight gain, it went to my core. off them now bt can't shift it!",weight gain,weight increased
@glass1ncision  -nods-  my zombie-ness when i first wake up in the morning is mostly from my nightly meds too (seroquel).,zombie-ness,feeling abnormal
@verlieren thank you! it didn't even fucking work. i went back to ziprasidone but now will never have another orgasm in my life.,never have another orgasm,anorgasmia
i took my trazodone like an hour ago and i can barely keep my eyes open and i need to finish homeworrrkkk,barely keep my eyes open,somnolence
having a serious quetiapine haze this morning...,haze,feeling abnormal
"@bipolarblogger the misery i'm experiencing today from the pain, outweighs the anti-depressant effect of the lamotrigine",pain,pain
vyvanse completely fucks up my sleep smh but i need it to study too,fucks up my sleep,sleep disorder
paxil why you not let me sleep?!?,not let me sleep,insomnia
i hate cipro! #antibiotic #nauseous #cf #hospitallife #cysticfibrosis,nauseous,nausea
only change so far since switching from lexapro to cymbalta: now i might notice if i got hit in the crotch w/ a lance in a jousting accident,might notice if i got hit in the crotch w/ a lance in a jousting accident,loss of libido
reducing the lamotrigine is grim. exhausted and grumpy. got another 2 weeks of this yet. wondering if i'm doing the right thing?,grumpy,irritability
reducing the lamotrigine is grim. exhausted and grumpy. got another 2 weeks of this yet. wondering if i'm doing the right thing?,exhausted,fatigue
i just found out that some dude from my friend's family was in a coma because of that drug (zyprexa) i was prescribed.,coma,somnolence
@ciproispoison avelox got me. central nervous system breakdown.,central nervous system breakdown,nervous system disorder
"@sewyoursoul i 'served' 6months of fluoxetine-time around 18 years ago, it put a smile on my face but inside i was still screaming. :(",inside i was still screaming,affect lability
@_kassidymariee maybe it's just a vyvanse addict thing rt @vyvanseswag: nothing more satisfying than crossing something off your to-do list.,addict,drug dependence
@ciproispoison you r right cipro nearly killed me,nearly killed me,near death experience
@zmiller1902 sometimes my humira pens make me feel like i'm 90 years old due to the joint pain everywhere.,joint pain,arthralgia
seriously haven't ate one thing all damn day.. #vyvanse #add #damn,haven't ate,decreased appetite
@halfabear i had a year on prozac which ruined my creativity too - my memory now is awful - pregabalin does it but it's worth it!!!,ruined my creativity,mental impairment
@halfabear i had a year on prozac which ruined my creativity too - my memory now is awful - pregabalin does it but it's worth it!!!,memory,memory impairment
day 6 cold turkey from effexor. i believe this pic adequately represents my descent into madness. or whatever. http://t.co/vz0ofabia0,descent into madness,mental impairment
?@dipndots95: my vyvanse makes me nocturnal ???,nocturnal,insomnia
@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.,withdrawal,withdrawal syndrome
#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.,tremors in hands,tremor
#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.,desperation,feeling of despair
#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.,body would rock ,tremor
#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.,tremors in hands and legs,tremor
#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.,restlessness,restlessness
do you think anyone has ever managed to have an orgasm while on xarelto?,orgasm,anorgasmia
@nicoleccoelho i take fluoxetine and it doesn't do shit it just makes me dizzy and tired,dizzy,dizziness
@nicoleccoelho i take fluoxetine and it doesn't do shit it just makes me dizzy and tired,tired,fatigue
@thestomabaglady i still get the pins &amp; needles feeling in my hands since doing humira,pins &amp; needles,paraesthesia
i think this olanzapine makes me crazier.,crazier,psychotic disorder
"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that bmi thing i'm obese, which i'm clearly not.",added 1 stone,weight increased
rt @vinniemedugno: @sonniedetore i cannot be in the sun! #levaquin,cannot be in the sun,photosensitivity reaction
"@joec second day off effexor &amp; on viibryd here. brain zaps are fun. and by fun, i mean horrendous &amp; miserable.",brain zaps,paraesthesia
adderall makes me vomit and vyvanse gives me migraines.. the struggle,vomit,vomiting
adderall makes me vomit and vyvanse gives me migraines.. the struggle,migraines,migraine
"depression hurts, cymbalta can help? no way! i just took a nap for the first time in years probably and wowza! what sorcery is this?!",nap,somnolence
so it fucking turns out that a side effect of effexor is a loss of appetite,loss of appetite,decreased appetite
i have put on weight (thanks ms and #tysabri). always look on the bright side: time for a @thinkgeek t-shirt spree! #winning,put on weight,weight increased
"@thekatieduke pt with similar found out trazodone can do the same. md said it was common. ""trazodone gives you a bone"". he is a poet.",bone,priapism
im on the codiene lean oxy hydro pill trazodone ah man loud n moscato vision blurry still alot on deck fuck everybody im rollin #superhard,vision blurry,vision blurred
thank god i was born with so much hair; i wouldn't been bald by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,hairloss,alopecia
"@iamjoy1 yeah i know, i dont take my trazadone at night cause it makes me feel groggy in the morning and i wont wake to my alarm):",groggy,somnolence
"@iamjoy1 yeah i know, i dont take my trazadone at night cause it makes me feel groggy in the morning and i wont wake to my alarm):",wont wake,somnolence
does anyone know if the #weight gain is less in #olanzapine combined with #prozac(#symbyax) than in olanzapine alone?,weight gain,weight increased
gave in wholeheartedly today to my olanzapine munchies. had already had an ice cream and milkshake before this :-0 http://t.co/mrzznwzwrl,munchies,hunger
"eat my trazodone then go to bed, wake up in the morning with holes in my head",holes in my head,mental impairment
@fergaroo thanks :) i so wanted venlafaxine to work cos at least it didn?t increase my appetite like citalopram did.,increase my appetite,increased appetite
rivaroxaban 2/2 if i could float weightless in space i suspect i would not ache. but i can't so need rid of rivaroxaban.,ache,pain
rivaroxaban diary 2/2 ..but not hungry. has to be taken with food. only had 1 hot drink and 1 slice of bread so far today,not hungry,decreased appetite
"since swapping my quetiapine doses around, my hunger and cravings have gotten so bad!",cravings,food craving
"since swapping my quetiapine doses around, my hunger and cravings have gotten so bad!",hunger,hunger
fluoxetine is a hell of a drug if you're into being awake all night and feeling ill.,feeling ill,malaise
fluoxetine is a hell of a drug if you're into being awake all night and feeling ill.,awake all night,insomnia
have taken the trazodone dose back down. simply cannot put up with feeling tired all day!,tired,fatigue
@inarticulate i haven't had an orgasm in a long time.. wtf.. #paxil,orgasm,anorgasmia
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/kbj5fvqpff,allergic reaction,hypersensitivity
