term_PT,term_HLT,term_HLGT,term_SOC
hepatocellular injury,hepatocellular damage and hepatitis nec,hepatic and hepatobiliary disorders,hepatobiliary disorders
microalbuminuria,urinary abnormalities,urinary tract signs and symptoms,renal and urinary disorders
apolipoprotein decreased,lipoprotein and lipid tests nec,lipid analyses,investigations
hypocapnia,conditions associated with abnormal gas exchange,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
splenic peliosis,spleen disorders,"spleen, lymphatic and reticuloendothelial system disorders",blood and lymphatic system disorders
sweat test,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
vagotomy,autonomic nerve therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
elderly primigravida,high risk pregnancies,"pregnancy, labour, delivery and postpartum conditions","pregnancy, puerperium and perinatal conditions"
artificial heart implant,cardiac device therapeutic procedures,cardiac therapeutic procedures,surgical and medical procedures
cholecystoenterostomy,biliary tract and gallbladder therapeutic procedures,hepatobiliary therapeutic procedures,surgical and medical procedures
vasoactive intestinal polypeptide decreased,"gastrointestinal, pancreatic and apud hormone analyses",endocrine investigations (incl sex hormones),investigations
cervix carcinoma stage i,cervix neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
gamma radiation therapy to soft tissue,soft tissue radiotherapies,soft tissue therapeutic procedures,surgical and medical procedures
diagnostic aspiration,histopathology procedures nec,"investigations, imaging and histopathology procedures nec",investigations
sexual relationship change,family and partner issues,family issues,social circumstances
angiogram cerebral normal,central nervous system imaging procedures,"neurological, special senses and psychiatric investigations",investigations
foot prosthesis user,disability issues,lifestyle issues,social circumstances
malignant neoplasm of orbit,ocular neoplasms malignant (excl melanomas),ocular neoplasms,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
modified rodnan skin score,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
chromoblastomycosis,cladosporidia infections,fungal infectious disorders,infections and infestations
enterocolonic fistula,gastrointestinal fistulae,gastrointestinal conditions nec,gastrointestinal disorders
platelet function test normal,platelet analyses,haematology investigations (incl blood groups),investigations
frederick's syndrome,cardiac conduction disorders,cardiac arrhythmias,cardiac disorders
analgesic drug level above therapeutic,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
lymphocyte transformation test positive,white blood cell analyses,haematology investigations (incl blood groups),investigations
corneal defect,corneal disorders nec,eye disorders nec,eye disorders
biopsy epididymis abnormal,reproductive organ and breast histopathology procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
milia,apocrine and eccrine gland disorders,skin appendage conditions,skin and subcutaneous tissue disorders
replication competent retrovirus test positive,virus identification and serology,microbiology and serology investigations,investigations
thalassaemia beta,haemoglobinopathies congenital,blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
anti-basal ganglia antibody negative,autoimmunity analyses,immunology and allergy investigations,investigations
leukoplakia oesophageal,oesophageal disorders nec,gastrointestinal conditions nec,gastrointestinal disorders
endometrial cancer recurrent,endometrial neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
intercepted product prescribing error,product prescribing errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
kommerell's diverticulum,great vessel disorders congenital,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
oncocytoma,neoplasms benign site unspecified nec,miscellaneous and site unspecified neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
coronary sinus injury,cardiac and vascular procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
gastroenteritis aeromonas,aeromonas infections,bacterial infectious disorders,infections and infestations
amygdalotomy,skull and brain therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
microcheilia,"musculoskeletal and connective tissue disorders of face, neck and jaw congenital",musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
familial mediterranean fever,immune system abnormalities congenital,immune system disorders congenital,"congenital, familial and genetic disorders"
mucositis management,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
cyst removal,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
wall motion score index normal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
cutaneous blastomycosis,blastomyces infections,fungal infectious disorders,infections and infestations
macular oedema,"retinal, choroid and vitreous infections and inflammations","ocular infections, irritations and inflammations",eye disorders
renal salt-wasting syndrome,nephropathies and tubular disorders nec,nephropathies,renal and urinary disorders
fractured skull depressed,"skull fractures, facial bone fractures and dislocations",bone and joint injuries,"injury, poisoning and procedural complications"
extravascular haemolysis,haemolyses nec,haemolyses and related conditions,blood and lymphatic system disorders
oral disorder,oral soft tissue disorders nec,oral soft tissue conditions,gastrointestinal disorders
coma scale abnormal,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
ovulation delayed,female gonadal function disorders,endocrine disorders of gonadal function,endocrine disorders
non-proliferative retinopathy,retinopathies nec,"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
diabetic autonomic neuropathy,autonomic nervous system disorders,neuromuscular disorders,nervous system disorders
intrauterine contraception,contraceptive methods female,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
thyroid echinococciasis,cestode infections,helminthic disorders,infections and infestations
idiopathic lenticular mucocutaneous pigmentation,hyperpigmentation disorders,pigmentation disorders,skin and subcutaneous tissue disorders
mantle cell lymphoma recurrent,mantle cell lymphomas,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
human herpes virus 6 serology,virus identification and serology,microbiology and serology investigations,investigations
oophoritis,female reproductive tract infections,infections - pathogen unspecified,infections and infestations
skin wrinkling,skin dystrophies,cornification and dystrophic skin disorders,skin and subcutaneous tissue disorders
tinnitus,inner ear signs and symptoms,inner ear and viiith cranial nerve disorders,ear and labyrinth disorders
lumbosacral plexopathy,peripheral neuropathies nec,peripheral neuropathies,nervous system disorders
simple partial seizures,partial simple seizures nec,seizures (incl subtypes),nervous system disorders
oesophageal mucosal dissection,oesophageal disorders nec,gastrointestinal conditions nec,gastrointestinal disorders
seminal vesiculitis,prostate and seminal vesicles infections and inflammations,male reproductive tract infections and inflammations,reproductive system and breast disorders
detachment of macular retinal pigment epithelium,"retinal structural change, deposit and degeneration","ocular structural change, deposit and degeneration nec",eye disorders
cardiac operation,cardiac therapeutic procedures nec,cardiac therapeutic procedures,surgical and medical procedures
retinal neovascularisation,retinal bleeding and vascular disorders (excl retinopathy),"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
cerebrospinal fluid reservoir placement,cerebrospinal fluid therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
hodgkin's disease mixed cellularity stage i site unspecified,hodgkin's disease mixed cellularity type,lymphomas hodgkin's disease,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
graft versus host disease in lung,immune and associated conditions nec,immune disorders nec,immune system disorders
giardia test positive,parasite identification and serology,microbiology and serology investigations,investigations
acquired macrocephaly,"musculoskeletal and connective tissue deformities of skull, face and buccal cavity",musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
csf glucose increased,cerebrospinal fluid tests (excl microbiology),"neurological, special senses and psychiatric investigations",investigations
personality disorder,personality disorders nec,personality disorders and disturbances in behaviour,psychiatric disorders
cor biloculare,cardiac disorders congenital nec,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
her2 positive gastric cancer,gastric neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
vein collapse,non-site specific vascular disorders nec,vascular disorders nec,vascular disorders
congenital bladder diverticulum,bladder disorders congenital,renal and urinary tract disorders congenital,"congenital, familial and genetic disorders"
lithotomy position,patient positioning,therapeutic procedures and supportive care nec,surgical and medical procedures
psychogenic erectile dysfunction,sexual arousal disorders,"sexual dysfunctions, disturbances and gender identity disorders",psychiatric disorders
interferon beta level,immune response protein analyses nec,immunology and allergy investigations,investigations
thyroxin binding globulin normal,thyroid analyses,endocrine investigations (incl sex hormones),investigations
alpha 1 globulin,protein analyses nec,protein and chemistry analyses nec,investigations
congenital large intestinal atresia,intestinal disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
cholelithotomy,biliary tract and gallbladder therapeutic procedures,hepatobiliary therapeutic procedures,surgical and medical procedures
factor xi deficiency,coagulation disorders congenital,blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
neurological rehabilitation,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
malignant neoplasm of spinal cord,central nervous system neoplasms malignant nec,nervous system neoplasms malignant and unspecified nec,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
lymphangiectasia intestinal,malabsorption syndromes,malabsorption conditions,gastrointestinal disorders
bone marrow granuloma,haematological disorders,haematological disorders nec,blood and lymphatic system disorders
enterovirus test negative,virus identification and serology,microbiology and serology investigations,investigations
nail dystrophy,nail and nail bed conditions (excl infections and infestations),skin appendage conditions,skin and subcutaneous tissue disorders
non-small cell lung cancer,non-small cell neoplasms malignant of the respiratory tract cell type specified,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
tetanus neonatorum,clostridia infections,bacterial infectious disorders,infections and infestations
interchange of vaccine products,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
multiple use of single-use product,"medication errors, product use errors and issues nec",medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
cisternogram,central nervous system imaging procedures,"neurological, special senses and psychiatric investigations",investigations
monoclonal antibody toxin conjugate therapy,monoclonal antibody therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
von willebrand's factor multimers normal,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
legionella infection,legionella infections,bacterial infectious disorders,infections and infestations
angiosarcoma,cardiovascular neoplasms malignant and unspecified,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
glucose tolerance impaired,hyperglycaemic conditions nec,glucose metabolism disorders (incl diabetes mellitus),metabolism and nutrition disorders
echoencephalogram normal,central nervous system imaging procedures,"neurological, special senses and psychiatric investigations",investigations
malignant neoplasm of thymus,mediastinal neoplasms malignant,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
coagulation factor ix level decreased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
hair metal test normal,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
human papilloma virus immunisation,immunisations,therapeutic procedures and supportive care nec,surgical and medical procedures
breath sounds,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
epiglottitis obstructive,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
magnetic resonance imaging brain normal,central nervous system imaging procedures,"neurological, special senses and psychiatric investigations",investigations
pinta,treponema infections,bacterial infectious disorders,infections and infestations
nasal neoplasm,paranasal sinus and nasal cavity neoplasms malignant and unspecified,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
red blood cell analysis abnormal,red blood cell analyses,haematology investigations (incl blood groups),investigations
abdominal pain lower,gastrointestinal and abdominal pains (excl oral and throat),gastrointestinal signs and symptoms,gastrointestinal disorders
secondary hypertension,vascular hypertensive disorders nec,vascular hypertensive disorders,vascular disorders
device related sepsis,"sepsis, bacteraemia, viraemia and fungaemia nec",infections - pathogen unspecified,infections and infestations
lung hypoinflation,lower respiratory tract signs and symptoms,respiratory tract signs and symptoms,"respiratory, thoracic and mediastinal disorders"
vitamin b12 decreased,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
norepinephrine,adrenal medulla tests,endocrine investigations (incl sex hormones),investigations
csf polymorphonuclear cell count increased,cerebrospinal fluid tests (excl microbiology),"neurological, special senses and psychiatric investigations",investigations
eyelash changes,"lid, lash and lacrimal structural disorders","anterior eye structural change, deposit and degeneration",eye disorders
erythema toxicum neonatorum,"rashes, eruptions and exanthems nec",epidermal and dermal conditions,skin and subcutaneous tissue disorders
sputum test,respiratory tract and thoracic histopathology procedures,respiratory and pulmonary investigations (excl blood gases),investigations
tracheal erythema,tracheal disorders (excl infections and neoplasms),upper respiratory tract disorders (excl infections),"respiratory, thoracic and mediastinal disorders"
nervous system disorder prophylaxis,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
tricuspid valve sclerosis,tricuspid valvular disorders,cardiac valve disorders,cardiac disorders
sickle cell anaemia with crisis,sickle cell trait and disorders,haemoglobinopathies,blood and lymphatic system disorders
necrotising scleritis,"scleral infections, irritations and inflammations","ocular infections, irritations and inflammations",eye disorders
blood sodium abnormal,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
drug chemical incompatibility,interactions,therapeutic and nontherapeutic effects (excl toxicity),general disorders and administration site conditions
fructosamine increased,carbohydrate tolerance analyses (incl diabetes),"metabolic, nutritional and blood gas investigations",investigations
spinal empyema,central nervous system and spinal infections,infections - pathogen unspecified,infections and infestations
ovarian germ cell teratoma stage i,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cerebral artery occlusion,central nervous system haemorrhages and cerebrovascular accidents,central nervous system vascular disorders,nervous system disorders
anticonvulsant drug level decreased,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
gallbladder disorder,gallbladder disorders nec,gallbladder disorders,hepatobiliary disorders
central pain syndrome,sensory abnormalities nec,neurological disorders nec,nervous system disorders
venous repair,venous therapeutic procedures,vascular therapeutic procedures,surgical and medical procedures
ankyloglossia congenital,tongue disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
flow cytometry,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
pharyngeal abscess,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
suicidal ideation,suicidal and self-injurious behaviour,suicidal and self-injurious behaviours nec,psychiatric disorders
primary effusion lymphoma,b-cell lymphomas nec,lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
stomach mass,gastrointestinal disorders nec,gastrointestinal conditions nec,gastrointestinal disorders
instillation site papules,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
body temperature fluctuation,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
phantom limb syndrome,sensory abnormalities nec,neurological disorders nec,nervous system disorders
head lag normal,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
coagulation disorder neonatal,coagulopathies,coagulopathies and bleeding diatheses (excl thrombocytopenic),blood and lymphatic system disorders
bladder tumour antigen,cell marker analyses,cytogenetic investigations,investigations
rectal cancer,colorectal neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
blood luteinising hormone increased,pituitary analyses anterior,endocrine investigations (incl sex hormones),investigations
kidney perforation,renal disorders nec,renal disorders (excl nephropathies),renal and urinary disorders
meningoencephalitis helminthic,helminthic infections nec,helminthic disorders,infections and infestations
bone trimming,bone therapeutic procedures nec,bone and joint therapeutic procedures,surgical and medical procedures
schlemm's canal obstruction,"anterior chamber structural change, deposit and degeneration","anterior eye structural change, deposit and degeneration",eye disorders
htlv-2 test,virus identification and serology,microbiology and serology investigations,investigations
iridocyclitis,"iris and uveal tract infections, irritations and inflammations","ocular infections, irritations and inflammations",eye disorders
adrenal rest tumour of the testis,reproductive neoplasms male benign nec,reproductive neoplasms male benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
uterine haemorrhage,uterine disorders nec,"uterine, pelvic and broad ligament disorders",reproductive system and breast disorders
muscle relaxant drug level below therapeutic,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
leiomyosarcoma metastatic,leiomyosarcomas,soft tissue neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
paraneoplastic retinopathy,retinopathies nec,"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
egfr status assay,gene analyses,cytogenetic investigations,investigations
costello syndrome,musculoskeletal disorders congenital nec,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
cycloplegic refraction,ophthalmic function diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
sensory level normal,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
baltic myoclonic epilepsy,neurological disorders congenital nec,neurological disorders congenital,"congenital, familial and genetic disorders"
type iii hyperlipidaemia,inborn errors of lipid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
chondroectodermal dysplasia,non-site specific cartilage disorders congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
application site bruise,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
late developer,age related issues,age related factors,social circumstances
rathke's cleft cyst,central nervous system disorders congenital nec,neurological disorders congenital,"congenital, familial and genetic disorders"
carbamoyl phosphate synthetase deficiency,inborn errors of amino acid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
bladder outlet obstruction,bladder disorders nec,bladder and bladder neck disorders (excl calculi),renal and urinary disorders
staphylococcus test positive,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
granulicatella infection,bacterial infections nec,bacterial infectious disorders,infections and infestations
mobility decreased,musculoskeletal and connective tissue conditions nec,musculoskeletal and connective tissue disorders nec,musculoskeletal and connective tissue disorders
carbohydrate antigen 72-4,cell marker analyses,cytogenetic investigations,investigations
semenuria,urinary abnormalities,urinary tract signs and symptoms,renal and urinary disorders
micturition frequency decreased,bladder and urethral symptoms,urinary tract signs and symptoms,renal and urinary disorders
coxsackie myocarditis,coxsackie viral infections,viral infectious disorders,infections and infestations
red reflex abnormal,ophthalmic histopathology and imaging procedures,"neurological, special senses and psychiatric investigations",investigations
inborn error of bilirubin metabolism,inborn errors of bilirubin metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
vitamin a normal,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
neuroendocrine tumour of the lung metastatic,respiratory tract and pleural neoplasms malignant cell type unspecified nec,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
corneal decompensation,corneal disorders nec,eye disorders nec,eye disorders
acute haemorrhagic conjunctivitis,enteroviral infections nec,viral infectious disorders,infections and infestations
oculomotor study normal,ophthalmic function diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
"anastomotic ulcer, obstructive","gastrointestinal ulcers and perforation, site unspecified",gastrointestinal ulceration and perforation,gastrointestinal disorders
urticaria pressure,urticarias,angioedema and urticaria,skin and subcutaneous tissue disorders
iris operation,iris and ciliary body therapeutic procedures,eye therapeutic procedures,surgical and medical procedures
antral follicle count,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
chondritis,cartilage disorders,"tendon, ligament and cartilage disorders",musculoskeletal and connective tissue disorders
uterine cervical laceration,reproductive system and breast injuries,injuries nec,"injury, poisoning and procedural complications"
large intestinal ulcer perforation,intestinal ulcers and perforation nec,gastrointestinal ulceration and perforation,gastrointestinal disorders
minimum inhibitory concentration,microbiology and serology tests nec,microbiology and serology investigations,investigations
phlebovirus test positive,virus identification and serology,microbiology and serology investigations,investigations
endoscopy small intestine abnormal,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
product label confusion,product confusion errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
anomalous pulmonary venous connection,venous disorders congenital,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
prostate tenderness,"prostatic signs, symptoms and disorders nec",prostatic disorders (excl infections and inflammations),reproductive system and breast disorders
tropical spastic paresis,retroviral infections,viral infectious disorders,infections and infestations
laryngeal squamous cell carcinoma,laryngeal neoplasms malignant,respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
thyroglossal cyst,thyroid disorders congenital,endocrine disorders congenital,"congenital, familial and genetic disorders"
tongue biting,neurological signs and symptoms nec,neurological disorders nec,nervous system disorders
granulomatous dermatitis,granulomatous and deep cutaneous inflammatory conditions,epidermal and dermal conditions,skin and subcutaneous tissue disorders
intraosseous access placement,venous therapeutic procedures,vascular therapeutic procedures,surgical and medical procedures
implant site reaction,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
pneumonia viral,viral infections nec,viral infectious disorders,infections and infestations
portal tract inflammation,hepatocellular damage and hepatitis nec,hepatic and hepatobiliary disorders,hepatobiliary disorders
renal transplant,renal therapeutic procedures,renal and urinary tract therapeutic procedures,surgical and medical procedures
band neutrophil count,white blood cell analyses,haematology investigations (incl blood groups),investigations
corneal graft failure,transplantation complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
injection site joint warmth,injection site reactions,administration site reactions,general disorders and administration site conditions
dermatochalasis,"lid, lash and lacrimal structural disorders","anterior eye structural change, deposit and degeneration",eye disorders
brucellosis,brucella infections,bacterial infectious disorders,infections and infestations
normochromic normocytic anaemia,anaemias nec,anaemias nonhaemolytic and marrow depression,blood and lymphatic system disorders
tendon sheath incision,tendon therapeutic procedures,soft tissue therapeutic procedures,surgical and medical procedures
mitogen stimulation test,white blood cell analyses,haematology investigations (incl blood groups),investigations
biopsy ligament abnormal,musculoskeletal and soft tissue histopathology procedures,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
norepinephrine decreased,adrenal medulla tests,endocrine investigations (incl sex hormones),investigations
face crushing,site specific injuries nec,injuries nec,"injury, poisoning and procedural complications"
depilation,skin and subcutaneous tissue therapeutic procedures nec,skin and subcutaneous tissue therapeutic procedures,surgical and medical procedures
chimerism,chromosomal abnormalities nec,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
rubella antibody negative,virus identification and serology,microbiology and serology investigations,investigations
chronic kidney disease-mineral and bone disorder,metabolic bone disorders,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
myelopathy,spinal cord and nerve root disorders nec,spinal cord and nerve root disorders,nervous system disorders
spinal cord ischaemia,spinal cord and nerve root disorders nec,spinal cord and nerve root disorders,nervous system disorders
basosquamous carcinoma,neoplasms malignant site unspecified nec,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
haemorrhagic stroke,central nervous system haemorrhages and cerebrovascular accidents,central nervous system vascular disorders,nervous system disorders
skin graft infection,skin structures and soft tissue infections,infections - pathogen unspecified,infections and infestations
biopsy pancreas abnormal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
optical coherence tomography abnormal,imaging procedures nec,"investigations, imaging and histopathology procedures nec",investigations
vertebra dislocation reduction,spine and spinal cord therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
low density lipoprotein apheresis,blood and blood product treatment,haematological and lymphoid tissue therapeutic procedures,surgical and medical procedures
primitive neuroectodermal tumour metastatic,nervous system neoplasms malignant nec,nervous system neoplasms malignant and unspecified nec,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
scleral oedema,"scleral infections, irritations and inflammations","ocular infections, irritations and inflammations",eye disorders
colostomy closure,large intestine therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
radiotherapy to liver,hepatobiliary radiotherapies,hepatobiliary therapeutic procedures,surgical and medical procedures
infusion site joint pain,infusion site reactions,administration site reactions,general disorders and administration site conditions
probiotic therapy,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
vaccination site reaction,vaccination site reactions,administration site reactions,general disorders and administration site conditions
stroke volume decreased,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
hiv antibody positive,virus identification and serology,microbiology and serology investigations,investigations
tracheal plastic repair,tracheal therapeutic procedures,respiratory tract therapeutic procedures,surgical and medical procedures
device position test,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
renal tubular injury,renal vascular and ischaemic conditions,renal disorders (excl nephropathies),renal and urinary disorders
tongue erythema,tongue signs and symptoms,tongue conditions,gastrointestinal disorders
mucinous adenocarcinoma of appendix,colorectal neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
tissue sealing,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
lung transplant,bronchial and pulmonary therapeutic procedures,respiratory tract therapeutic procedures,surgical and medical procedures
toxoplasma serology,parasite identification and serology,microbiology and serology investigations,investigations
upper limb fracture,limb fractures and dislocations,bone and joint injuries,"injury, poisoning and procedural complications"
temporal lobe epilepsy,partial complex seizures,seizures (incl subtypes),nervous system disorders
incision site rash,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
breast prosthesis user,disability issues,lifestyle issues,social circumstances
progressive facial hemiatrophy,lipodystrophies,skin and subcutaneous tissue disorders nec,skin and subcutaneous tissue disorders
arterial segmental pressure test,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
mature b-cell type acute leukaemia,leukaemias acute lymphocytic,leukaemias,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
olmsted syndrome,skin and subcutaneous tissue disorders congenital nec,skin and subcutaneous tissue disorders congenital,"congenital, familial and genetic disorders"
inclusion conjunctivitis neonatal,chlamydial infections,chlamydial infectious disorders,infections and infestations
cytomegalovirus pericarditis,cytomegaloviral infections,viral infectious disorders,infections and infestations
post procedural drainage,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
emetophobia,fear symptoms and phobic disorders (incl social phobia),anxiety disorders and symptoms,psychiatric disorders
hereditary haemochromatosis,hepatobiliary abnormalities congenital,hepatobiliary disorders congenital,"congenital, familial and genetic disorders"
pregnancy of unknown location,high risk pregnancies,"pregnancy, labour, delivery and postpartum conditions","pregnancy, puerperium and perinatal conditions"
hepatic fibrosis marker abnormal,liver function analyses,hepatobiliary investigations,investigations
oedema due to hepatic disease,oedema nec,general system disorders nec,general disorders and administration site conditions
thrombectomy,vascular therapeutic procedures nec,vascular therapeutic procedures,surgical and medical procedures
selective igm immunodeficiency,primary immunodeficiency syndromes,immunodeficiency syndromes,immune system disorders
oropharyngeal lymphoepithelioma,"oropharyngeal, nasopharyngeal and tonsillar neoplasms malignant and unspecified",respiratory and mediastinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cryopyrin associated periodic syndrome,musculoskeletal and connective tissue disorders of limbs congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
pseudoradicular syndrome,spinal cord and nerve root disorders nec,spinal cord and nerve root disorders,nervous system disorders
waist circumference increased,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
pseudocholinesterase deficiency,inborn errors of metabolism nec,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
atrial natriuretic peptide decreased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
enterocolitis aids,retroviral infections,viral infectious disorders,infections and infestations
electrolyte depletion,electrolyte imbalance nec,electrolyte and fluid balance conditions,metabolism and nutrition disorders
adnexa uteri mass,pelvis and broad ligament disorders nec,"uterine, pelvic and broad ligament disorders",reproductive system and breast disorders
aortitis,aortic infections and inflammations,vascular infections and inflammations,vascular disorders
asymmetric gluteal fold,musculoskeletal and connective tissue conditions nec,musculoskeletal and connective tissue disorders nec,musculoskeletal and connective tissue disorders
device use confusion,product confusion errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
coronary sinus dilatation,coronary artery disorders nec,coronary artery disorders,cardiac disorders
