,term_PT
9709,abdominal wall disorder
9710,ear discomfort
9711,pyelitis
9712,breast implant-associated anaplastic large cell lymphoma
9713,head discomfort
9714,post procedural myocardial infarction
9715,perineal induration
9716,hypertensive end-organ damage
9717,glutathione reductase activity increased
9718,tonsillar atrophy
9719,tourniquet application
9720,anti factor viii antibody increased
9721,pneumocystis jirovecii infection
9722,tongue carcinoma stage ii
9723,toxic epidermal necrolysis
9724,nail psoriasis
9725,rheumatoid factor negative
9726,phlebosclerosis
9727,epiploic appendagitis
9728,toe brachial index
9729,peritoneal adhesions
9730,globotriaosylceramide
9731,porphyria acute
9732,pylorospasm
9733,haemophilic pseudotumour
9734,breast complication associated with device
9735,oestradiol normal
9736,gustometry normal
9737,vessel puncture site phlebitis
9738,application site warmth
9739,procedural pain
9740,gastric mucosal hypertrophy
9741,child neglect
9742,discouragement
9743,pulmonary artery thrombosis
9744,pyelonephritis fungal
9745,respiratory disorder neonatal
9746,female orgasmic disorder
9747,female genital tract fistula
9748,digestive enzyme test
9749,wrong route
9750,malignant haemangiopericytoma metastatic
9751,ph urine normal
9752,neonatal testicular torsion
9753,anti-basal ganglia antibody positive
9754,mevalonic aciduria
9755,biopsy rectum
9756,hepatitis toxic
9757,blindness transient
9758,protein albumin ratio
9759,stool dna test false positive
9760,focal peritonitis
9761,colour vision tests normal
9762,accessory auricle
9763,pharyngeal enanthema
9764,lymphocyte count increased
9765,sars-cov-2 antibody test
9766,disabled relative
9767,leiomyosarcoma
9768,bone marrow infiltration
9769,apolipoprotein abnormal
9770,eye excision
9771,hla marker study
9772,product contamination physical
9773,central nervous system enteroviral infection
9774,x-ray normal
9775,poor sucking reflex
9776,endoscopy upper gastrointestinal tract abnormal
9777,hip fracture
9778,oral purpura
9779,maximal voluntary ventilation abnormal
9780,therapeutic product effect increased
9781,aluminium overload
9782,multiple organ transplant rejection
9783,heart rate
9784,pneumatosis
9785,systemic lupus erythematosus disease activity index increased
9786,anal papillitis
9787,viiith nerve injury
9788,oropharyngeal cancer stage iv
9789,amimia
9790,oropharyngeal cancer
9791,testicular perforation
9792,creatorrhoea
9793,nicotinamide
9794,aortic occlusion
9795,erythrokeratodermia variabilis
9796,braf gene mutation
9797,antioestrogen therapy
9798,therapeutic product effect prolonged
9799,blood gases
9800,gastrointestinal surgery
9801,visual tracking test normal
9802,pulmonary arterial pressure increased
9803,drug detoxification
9804,rectal cancer recurrent
9805,necrotising soft tissue infection
9806,schizoaffective disorder
9807,dilatation atrial
9808,trace element deficiency
9809,urinary tract candidiasis
9810,cytomegalovirus pancreatitis
9811,vegan
9812,heat illness
9813,overlap syndrome
9814,sinus arrest
9815,salivary oestriol increased
9816,nodal marginal zone b-cell lymphoma stage iii
9817,oesophageal ph
9818,laryngeal granuloma
9819,intracystic breast papilloma
9820,polyneuropathy idiopathic progressive
9821,optic nerve cup/disc ratio increased
9822,trepopnoea
9823,satb2-associated syndrome
9824,ovarian germ cell endodermal sinus tumour stage iii
9825,b-cell small lymphocytic lymphoma stage i
9826,coxsackie carditis
9827,thermometry
9828,ovarian haematoma
9829,radical parametrectomy
9830,"drug use disorder, antepartum"
9831,myelocyte percentage increased
9832,adrenal adenoma
9833,non-hodgkin's lymphoma unspecified histology indolent stage i
9834,bladder leukoplakia
9835,malignant oligodendroglioma
9836,optic nerve cup/disc ratio
9837,sigmoid mesocolon hernia
9838,affect lability
9839,pylorus dilatation
9840,vesicourethral anastomosis
9841,allergy to sting
9842,cholecystitis infective
9843,infusion site mass
9844,blood calcium decreased
9845,gastric cancer stage ii
9846,postoperative analgesia
9847,pancreatic cyst drainage
9848,bronchoplasty
9849,non-high-density lipoprotein cholesterol decreased
9850,bladder adenocarcinoma stage iv
9851,anti-islet cell antibody negative
9852,biopsy lymph gland normal
9853,lithiasis
9854,theft
9855,rectal adenoma
9856,anti-zinc transporter 8 antibody negative
9857,tooth dislocation
9858,congenital coronary artery malformation
9859,n-terminal prohormone brain natriuretic peptide
9860,pedal pulse abnormal
9861,jeavons syndrome
9862,burkitt's lymphoma stage iii
9863,job dissatisfaction
9864,male contraception
9865,metamyelocyte percentage
9866,secretin test
9867,body height normal
9868,abdominal rigidity
9869,plasma viscosity
9870,double outlet left ventricle
9871,hodgkin's disease mixed cellularity stage ii subdiaphragmatic
9872,stool heavy metal positive
9873,face oedema
9874,vascular operation
9875,hepatosplenomegaly
9876,ewing's sarcoma metastatic
9877,blood uric acid
9878,laparoscopy normal
9879,blood corticotrophin increased
9880,treponema test positive
9881,borrelia test
9882,apolipoprotein normal
9883,radiation associated haemorrhage
9884,biopsy trachea
9885,ulcerative hyperkeratosis
9886,bile duct necrosis
9887,perineal haematoma
9888,coxsackie viral infection
9889,haematology test abnormal
9890,neoplasm of appendix
9891,hla-a*3101 assay positive
9892,membranous lipodystrophy
9893,hemicorporectomy
9894,cholinesterase inhibition
9895,metastatic carcinoma of the bladder
9896,tracheal radiation injury
9897,metyrapone challenge test normal
9898,noninfectious myelitis
9899,scan abdomen abnormal
9900,plasma cell balanitis
9901,depression postoperative
9902,comminuted fracture
9903,compulsive shopping
9904,ischaemic skin ulcer
9905,lineal gingival erythema
9906,developmental regression
9907,product quality issue
9908,ultrasound liver
9909,skeletal survey abnormal
9910,x-ray treatment
9911,amylase creatinine clearance ratio abnormal
9912,facial wasting
9913,prion agent test positive
9914,ear tuberculosis
9915,cec syndrome
9916,perineal repair breakdown
9917,disseminated leishmaniasis
9918,guttate psoriasis
9919,tetralogy of fallot repair
9920,gastric polyps
9921,congenital teratoma
9922,hrd gene mutation assay positive
9923,hepatosplenic t-cell lymphoma
9924,blood antimony normal
9925,vaginal cancer recurrent
9926,pyoderma streptococcal
9927,akinesia
9928,cytopenia
9929,pulmonary arterial pressure abnormal
9930,exposure via ingestion
9931,anti-insulin receptor antibody positive
9932,splenic varices
9933,bladder ulcer
9934,vernet's syndrome
9935,orthodontic traction
9936,cardiac asthma
9937,tissue discolouration
9938,urinary bladder polyp
9939,infection prophylaxis
9940,optic discs blurred
9941,device lead issue
9942,charles bonnet syndrome
9943,white blood cells stool
9944,chest x-ray normal
9945,postoperative delirium
9946,urethral cancer recurrent
9947,lymphoplasmacytoid lymphoma/immunocytoma stage i
9948,altered pitch perception
9949,intra-uterine contraceptive device insertion
9950,hepatitis viral test
9951,benign ear neoplasm
9952,o'nyong-nyong fever
9953,necrotising myositis
9954,gastrointestinal ulcer management
9955,epididymal disorder
9956,renal cell carcinoma stage i
9957,rinne tuning fork test abnormal
9958,meningitis noninfective
9959,interferon gamma decreased
9960,bladder irritation
9961,pseudomonas aeruginosa meningitis
9962,carotid pulse abnormal
9963,cerebral artery perforation
9964,bacterial food poisoning
9965,pharyngeal hypoaesthesia
9966,application site joint inflammation
9967,incomplete course of vaccination
9968,wildervanck syndrome
9969,neovaginal pain
9970,prostatic specific antigen
9971,acquired thalassaemia
9972,adult t-cell lymphoma/leukaemia
9973,vascular wall discolouration
9974,intentional medical device removal by patient
9975,labyrinthine fistula
9976,amblyopia strabismic
9977,agitation neonatal
9978,synkinesis
9979,prothrombin time abnormal
9980,viral cardiomyopathy
9981,myocardial stunning
9982,homosexual parent
9983,cyclopia
9984,device maintenance issue
9985,penile vascular reconstructive surgery
9986,allergy to fermented products
9987,immunisation reaction
9988,colorectal cancer
9989,benign hepatobiliary neoplasm
9990,spermatic cord mass
9991,vascular anastomotic haemorrhage
9992,post laminectomy syndrome
9993,gallbladder cancer
9994,eosinophilic pneumonia chronic
9995,vascular graft
9996,repetitive strain injury
9997,hepatomegaly
9998,arginase deficiency
9999,focal cortical resection
10000,hepatorenal syndrome
10001,anaesthesia reversal
10002,anal fistula repair
10003,hypervitaminosis b
10004,ventricular asystole
10005,blood uric acid normal
10006,csf lactate dehydrogenase increased
10007,eyelid erosion
10008,restlessness
10009,segmented hyalinising vasculitis
10010,benign oesophageal neoplasm
10011,endoscopy large bowel
10012,skin squamous cell carcinoma metastatic
10013,blood urine absent
10014,tracheal squamous cell metaplasia
10015,large cell lung cancer stage iii
10016,malignant mesenteric neoplasm
10017,joint warmth
10018,herpes simplex colitis
10019,restless arm syndrome
10020,eosinophilic cystitis
10021,ectopic chorionic gonadotrophin secretion
10022,parasite blood test positive
10023,shunt blood flow excessive
10024,karyotype analysis abnormal
10025,recurrent pyogenic cholangitis
10026,ovarian cyst ruptured
10027,buccoglossal syndrome
10028,restrictive allograft syndrome
10029,aortic valve stenosis
10030,faecal elastase test
10031,urethral caruncle removal
10032,splenic vein aneurysm
10033,scrotal haematoma
10034,diabetic complication
10035,femoral anteversion
10036,skull x-ray abnormal
10037,gliosarcoma
10038,spermatic cord pain
10039,vitamin b1
10040,vascular access site infection
10041,barium double contrast
10042,oophoropexy
10043,insulin resistance
10044,congenital cerebral haemangioma
10045,hypoosmolar state
10046,waldenstrom's macroglobulinaemia stage iii
10047,bronchitis fungal
10048,fracture malunion
10049,pre-existing disease
10050,htlv-1 carrier
10051,red blood cell target cells present
10052,hodgkin's disease lymphocyte predominance type stage unspecified
10053,hepatobiliary disorder prophylaxis
10054,camptodactyly congenital
10055,foot fracture
10056,dry mouth
10057,chronic spontaneous urticaria
10058,photon radiation therapy to lung
10059,wolfram syndrome
10060,pain
10061,hemidysaesthesia
10062,blood cadmium normal
10063,eyelid retraction
10064,biopsy salivary gland
10065,shunt thrombosis
10066,exposure via eye contact
10067,urinary 6 beta hydroxycortisol/cortisol ratio
10068,vascular access site rupture
10069,endocarditis fibroplastica
10070,traumatic renal injury
10071,laevocardia
10072,apicectomy
10073,spider vein
10074,biopsy lymph gland abnormal
10075,injection site plaque
10076,peripheral nerve decompression
10077,mucosal infection
10078,urinary tract malformation
10079,cardiac tamponade
10080,immune recovery uveitis
10081,passenger lymphocyte syndrome
10082,lip disorder
10083,tongue abscess
10084,benzodiazepine drug level increased
10085,growing pains
10086,eyelid operation
10087,biopsy epididymis normal
10088,splenic haemorrhage
10089,sinoscopy
10090,fluid wave test
10091,animal phobia
10092,mediastinal shift
10093,cerebrospinal fluid retention
10094,urine albumin/creatinine ratio increased
10095,pyridinoline urine
10096,testicular retraction
10097,pycnodysostosis
10098,neonatal cholestasis
10099,netherton's syndrome
10100,cardiac septal defect repair
10101,blood creatine phosphokinase mm
10102,bladder hypertrophy
10103,influenza a virus test
10104,necrotising ulcerative gingivostomatitis
10105,frostbite
10106,application site alopecia
10107,truncus arteriosus repair
10108,tendon dislocation
10109,autophobia
10110,amniotic fluid index
10111,retrosternal fluid evacuation
10112,high density lipoprotein
10113,neuropathy vitamin b12 deficiency
10114,non-hodgkin's lymphoma recurrent
10115,onychomalacia
10116,vulval ulceration
10117,mucosal roughness
10118,retinal vein varices
10119,rachitic rosary
10120,gingival hypertrophy
10121,neuroacanthocytosis
10122,hodgkin's disease stage ii
10123,vulvovaginal discomfort
10124,vitreous loss
10125,seminal vesicle atrophy
10126,biliary sphincterotomy
10127,labour complication
10128,drug titration
10129,lung carcinoma cell type unspecified stage i
10130,chronic tonsillitis
10131,plateletcrit normal
10132,corneal degeneration
10133,incision site hypoaesthesia
10134,anticachectic therapy
10135,treponema test false positive
10136,neuronal migration disorder
10137,thyroid steatosis
10138,malignant neoplasm of eye
10139,gastroenteritis escherichia coli
10140,granulomatous lymphadenitis
10141,prealbumin
10142,polyserositis
10143,surgical fixation of rib fracture
10144,hypolipidaemia
10145,scar excision
10146,encephalomyelitis
10147,post viral fatigue syndrome
10148,angioimmunoblastic t-cell lymphoma stage ii
10149,chediak-higashi syndrome
10150,viral pharyngitis
10151,puncture site induration
10152,laryngeal pain
10153,ultrasound scan vagina abnormal
10154,intracranial mass
10155,reproductive tract anastomotic leak
10156,acute fatty liver of pregnancy
10157,amylase normal
10158,biopsy kidney abnormal
10159,cryptitis
10160,administration site erosion
10161,oropharyngeal cancer stage 0
10162,angiotensin i abnormal
10163,nasal dryness
10164,cancer staging
10165,cerebral haematoma
10166,genitourinary tract neoplasm
10167,thyroiditis
10168,benign neoplasm of retina
10169,school refusal
10170,skin hair bearing graft
10171,oesophageal anastomosis
10172,urinary hexose tetrasaccharide decreased
10173,device pacing issue
10174,uterine rupture
10175,mixed hepatocellular cholangiocarcinoma
10176,manufacturing process control procedure issue
10177,preauricular cyst
10178,tooth extraction
10179,lymphoproliferative disorder in remission
10180,exposure via grandmother
10181,arrhythmia neonatal
10182,injection site dysaesthesia
10183,carotidynia
10184,ligament pain
10185,anterior chamber inflammation
10186,csf white blood cell count positive
10187,thrombophlebitis migrans
10188,papulopustular rosacea
10189,renal failure neonatal
10190,gastrinoma malignant
10191,thrombosis
10192,helplessness
10193,porphyrins urine
10194,platelet aggregation test
10195,multilocular cystic nephroma
10196,congenital ectopic bladder
10197,vasectomy
10198,meningoencephalitis viral
10199,primary mediastinal large b-cell lymphoma stage i
10200,investigation normal
10201,urine potassium
10202,infected neoplasm
10203,neutrophilia
10204,adjustment disorder with disturbance of conduct
10205,epidemic polyarthritis
10206,eales' disease
10207,brachyspira infection
10208,salpingitis tuberculous
10209,peritoneal dialysis complication
10210,myocardial infarction
10211,intraoperative cerebral artery occlusion
10212,salivary gland calculus
10213,cervix cryotherapy
10214,2-hydroxyglutaric aciduria
10215,pharyngeal anastomotic leak
10216,orbital granuloma
10217,echocardiogram
10218,transferrin increased
10219,functional residual capacity abnormal
10220,hiv infection who clinical stage ii
10221,oral neoplasm
10222,blast cell crisis
10223,facial nerve disorder
10224,pericarditis meningococcal
10225,intraocular lens implant
10226,acute promyelocytic leukaemia
10227,obstetric infection
10228,pseudologia
10229,arteriovenous fistula
10230,hypermethioniuria
10231,peritonitis syphilitic
10232,hereditary angioedema
10233,permanent cosmetic dermapigmentation
10234,congenital trichomegaly
10235,thrombin time
10236,blys polymorphism
10237,fibrinolysis decreased
10238,pulmonary haemorrhage
10239,uridrosis
10240,urine calcium normal
10241,electrocardiogram ambulatory normal
10242,acarodermatitis
10243,venous bruit
10244,inflammatory marker decreased
10245,dysmetropsia
10246,foetal placental thrombosis
10247,nail bed infection
10248,papilla of vater stenosis
10249,cranial nerve injury secondary to birth trauma
10250,anticoagulant therapy
10251,extraskeletal ossification
10252,blood immunoglobulin g
10253,carcinoembryonic antigen
10254,hodgkin's disease nodular sclerosis recurrent
10255,acquired asplenia
10256,nasal vestibulitis
10257,alveolar oxygen partial pressure
10258,ovarian germ cell teratoma stage iv
10259,product administered by wrong person
10260,factor ii deficiency
10261,exostosis of external ear canal
10262,primary cardiac lymphoma
10263,diplopia
10264,cerebral ventriculogram abnormal
10265,vasoconstriction
10266,sudden infant death syndrome
10267,peripheral endarterectomy
10268,eye degenerative disorder
10269,multi-vitamin deficiency
10270,skin dystrophy
10271,lymphadenectomy
10272,tooth deposit
10273,albright's disease
10274,amusia
10275,hereditary hypophosphataemic rickets
10276,chronic myeloid leukaemia recurrent
10277,philadelphia chromosome negative
10278,neutralising antibodies positive
10279,administration site joint infection
10280,zinc sulphate turbidity decreased
10281,basophil percentage
10282,blood bilirubin abnormal
10283,fev1/fvc ratio decreased
10284,eosinophil count abnormal
10285,gap junction protein beta 2 gene mutation
10286,biopsy thyroid gland abnormal
10287,long qt syndrome congenital
10288,grunting
10289,respiratory rate increased
10290,genital cancer male in situ
10291,pituitary haemorrhage
10292,proerythroblast count abnormal
10293,juvenile chronic myelomonocytic leukaemia
10294,urine magnesium decreased
10295,pelvic cyst
10296,anastomotic erosion
10297,total fluid output
10298,sarcomatoid mesothelioma
10299,comfort scale score increased
10300,radial head dislocation
10301,enterococcal bacteraemia
10302,autoimmune haemolytic anaemia
10303,arteriovenous fistula site haemorrhage
10304,macular reflex abnormal
10305,pupillary light reflex tests
10306,non-hodgkin's lymphoma unspecified histology aggressive stage iii
10307,corneal cyst
10308,congenital tricuspid valve atresia
10309,application site pallor
10310,corneal reflex decreased
10311,device extension damage
10312,urine iodine increased
10313,treatment failure
10314,metatarsal excision
10315,"sleep disorder due to general medical condition, hypersomnia type"
10316,dysphonia
10317,vaginal ph abnormal
10318,performance enhancing product use
10319,growth hormone deficiency
10320,vaccination site laceration
10321,herpes simplex necrotising retinopathy
10322,csf pressure normal
10323,crossmatch
10324,nasal sinus cancer
10325,gastrointestinal cancer metastatic
10326,addison's disease
10327,testicular infarction
10328,pterygium operation
10329,food poisoning
10330,otitis externa candida
10331,"diaphragmatic hernia, obstructive"
10332,nasolaryngoscopy
10333,pharyngeal leukoplakia
10334,post concussion syndrome
10335,toxic cataract
10336,blood glucagon abnormal
10337,eosinophilic pleural effusion
10338,testicular yolk sac tumour stage iii
10339,chest pain
10340,renal cancer metastatic
10341,medical device site anaesthesia
10342,haemangioma of liver
10343,periosteal haematoma
10344,dry age-related macular degeneration
10345,peri-spinal heterotopic ossification
10346,choroid tubercles
10347,colon neoplasm
10348,primary cerebellar degeneration
10349,bacterial test positive
10350,retroperitoneal neoplasm
10351,poverty of speech
10352,anaemia neonatal
10353,x-ray therapy to joint
10354,congenital ovarian anomaly
10355,cardiopulmonary exercise test normal
10356,blood folate normal
10357,thermogram
10358,antipyresis
10359,gastrointestinal decompression
10360,pancreatic neoplasm
10361,removal of foreign body from rectum
10362,heat oedema
10363,chronic disease
10364,urethral cancer metastatic
10365,x-ray limb normal
10366,skin burning sensation
10367,breast operation
10368,hysteroscopy abnormal
10369,oral contraception
10370,creatinine renal clearance abnormal
10371,muscle fatigue
10372,macular dystrophy congenital
10373,urine analysis
10374,implant site hyperaesthesia
10375,discogram normal
10376,abdominal wall neoplasm benign
10377,necrotising oesophagitis
10378,neovaginal prolapse
10379,lactation puerperal increased
10380,gastrointestinal endoscopic therapy
10381,human metapneumovirus test
10382,sternal wiring
10383,blood potassium
10384,non-hodgkin's lymphoma
10385,scapulothoracic dissociation
10386,primary immunodeficiency syndrome
10387,intracranial haematoma
10388,bone hypertrophy
10389,administration site reaction
10390,folate deficiency
10391,irritability postvaccinal
10392,precancerous condition
10393,ligament disorder
10394,metastatic neoplasm
10395,scleral thinning
10396,disseminated blastomycosis
10397,h3n2 influenza
10398,male sterilisation
10399,device loosening
10400,cardiac malposition
10401,gaucher's disease type i
10402,nitrite urine absent
10403,benign neoplasm of eye
10404,testicular choriocarcinoma
10405,opportunistic infection prophylaxis
10406,lip swelling
10407,colorectal carcinoma stage 0
10408,vaginal scarring
10409,genital infection helminthic
10410,subcapsular hepatic haematoma
10411,binge drinking
10412,myopic disc
10413,urethral spasm
10414,tracheal obstruction extrinsic
10415,acute myelomonocytic leukaemia
10416,scan normal
10417,congenital haematological disorder
10418,familial medullary thyroid cancer
10419,sacroiliac fracture
10420,removal of foreign body from throat
10421,senile psychosis
10422,nail disorder
10423,ureteric dilatation
10424,pyospermia
10425,hodgkin's disease lymphocyte predominance type recurrent
10426,human placental lactogen decreased
10427,catheter site calcification
10428,jejunal gangrene
10429,blood beta-d-glucan negative
10430,ureteric atresia
10431,rectal prolapse repair
10432,periphlebitis
10433,dental paraesthesia
10434,total neuropathy score
10435,congenital anosmia
10436,cochlea implant
10437,polymorphic light eruption
10438,single functional kidney
10439,temperature perception test normal
10440,parvovirus infection
10441,iron overload
10442,ischaemic pancreatitis
10443,cat scratch disease
10444,adenovirus test
10445,primary mediastinal large b-cell lymphoma stage iv
10446,jaw lesion excision
10447,brain natriuretic peptide increased
10448,transcranial magnetic stimulation
10449,viral acanthoma
10450,lymphoedema
10451,aorto-oesophageal fistula
10452,non-immune heparin associated thrombocytopenia
10453,regenerative siderotic hepatic nodule
10454,eosinophilic granulomatosis with polyangiitis
10455,fallopian tube necrosis
10456,post vaccination syndrome
10457,gastric pacemaker insertion
10458,eyelid naevus
10459,zoonosis
10460,gingival disorder
10461,urinary ascites
10462,vitamin d decreased
10463,platelet dysfunction
10464,allergic pharyngitis
10465,lipoprotein (a) normal
10466,bronchiectasis
10467,vascular resistance pulmonary
10468,stiff person syndrome
10469,blood 25-hydroxycholecalciferol decreased
10470,computerised tomogram pancreas
10471,radiotherapy to urinary bladder
10472,urothelium erosion
10473,intentional removal of drug delivery system by patient
10474,chronic graft versus host disease in skin
10475,cardiac septal defect residual shunt
10476,glutamate dehydrogenase increased
10477,malignant neoplasm of placenta
10478,biopsy vulva
10479,renal arteriosclerosis
10480,platyspondylia
10481,postoperative renal failure
10482,varicella zoster sepsis
10483,coagulation factor viii level increased
10484,dieulafoy's vascular malformation
10485,keratopathy
10486,exposure via mucosa
10487,"gastric ulcer, obstructive"
10488,ventricular septal defect acquired
10489,brain natriuretic peptide decreased
10490,eye infection staphylococcal
10491,pharyngeal paraesthesia
10492,camptodactyly acquired
10493,mikulicz's disease
10494,anterior interosseous syndrome
10495,encephalitis venezuelan equine
10496,circumoral oedema
10497,stool sodium increased
10498,postoperative stitch sinus
10499,eosinophil morphology normal
10500,hyperglycaemic unconsciousness
10501,venous thrombosis limb
10502,hepatitis post transfusion
10503,gonadotrophin releasing hormone stimulation test
10504,osteocalcin
10505,bladder transitional cell carcinoma stage i
10506,bone infarction
10507,rabies
10508,reticuloendothelial system stimulated
10509,leucine aminopeptidase increased
10510,iniencephaly
10511,medical device site oedema
10512,renal mass
10513,urinary bladder explosion
10514,empty nose syndrome
10515,peripheral t-cell lymphoma unspecified stage i
10516,biopsy
10517,splenorenal shunt procedure
10518,device deposit issue
10519,paraganglion neoplasm malignant
10520,abortion induced complicated
10521,oropharyngeal spasm
10522,right atrial dilatation
10523,incarcerated hiatus hernia
10524,loss of visual contrast sensitivity
10525,nasal mucosal hypertrophy
10526,ocular procedural complication
10527,thalassaemia
10528,visual cortex atrophy
10529,neutrophil morphology abnormal
10530,urine arsenic increased
10531,irregular sleep wake rhythm disorder
10532,bone operation
10533,retinol binding protein
10534,tidal volume decreased
10535,gastric hypomotility
10536,urinary cystectomy
10537,sebaceous carcinoma
10538,meningitis mumps
10539,pulmonary arterial wedge pressure normal
10540,pulmonary haemorrhage neonatal
10541,benzodiazepine drug level therapeutic
10542,white blood cell count normal
10543,pallor
10544,aortic embolus
10545,spleen scan abnormal
10546,liver contusion
10547,injection site scar
10548,notalgia paraesthetica
10549,cardiac ventriculogram right normal
10550,quadriparesis
10551,giant fornix syndrome
10552,product size issue
10553,external fixation of fracture
10554,infected lymphocele
10555,failed induction of labour
10556,protein albumin ratio decreased
10557,tricuspid valve replacement
10558,vaccination site erythema
10559,apathy
10560,psychiatric decompensation
10561,synovial fluid glucose
10562,pseudoaneurysm infection
10563,muscle incision
10564,hypotriglyceridaemia
10565,hypotransferrinaemia
10566,coinfection
10567,benign salivary gland neoplasm
10568,penile odour
10569,epidermal necrosis
10570,gallbladder papilloma
10571,metastases to bone
10572,radiotherapy to skin
10573,infusion site joint warmth
10574,intestinal ischaemia
10575,battle's sign
10576,actinic keratosis
10577,ovarian germ cell polyembryoma stage ii
10578,anti-actin antibody positive
10579,oesophagitis bacterial
10580,tracheal obstruction
10581,aerophagia
10582,lymph nodes scan abnormal
10583,apparent life threatening event
10584,ventricular enlargement
10585,csf volume increased
10586,guthrie test
10587,saddan syndrome
10588,neuroendocrine carcinoma of prostate
10589,biopsy brain
10590,coxsackie virus test negative
10591,senile pruritus
10592,yaws of bone
10593,slow speech
10594,bone debridement
10595,inborn error of amino acid metabolism
10596,writer's cramp
10597,chronic cutaneous lupus erythematosus
10598,ventricular compliance decreased
10599,vaginal fistula
10600,kyphosis postoperative
10601,oedema mucosal
10602,hydrocele
10603,limb malformation
10604,menkes' syndrome
10605,benign lung neoplasm
10606,aortic stent insertion
10607,immune-mediated encephalitis
10608,infusion site induration
10609,vitamin a abnormal
10610,right ventricular heave
10611,grip strength
10612,post procedural inflammation
10613,blood parathyroid hormone normal
10614,solar lentigo
10615,retinal tumour excision
10616,cardiac ventriculogram left normal
10617,enterococcal gastroenteritis
10618,sars-cov-1 test negative
10619,malignant fibrous histiocytoma recurrent
10620,hepatitis b core antibody positive
10621,coagulation factor viii level normal
10622,vaccination site streaking
10623,laryngeal cancer
10624,congenital hiatus hernia
10625,urobilinogen urine decreased
10626,actinic prurigo
10627,hyperamylasaemia
10628,vertebral artery thrombosis
10629,albumin globulin ratio decreased
10630,intercepted product dispensing error
10631,pleomorphism
10632,histamine intolerance
10633,gastrointestinal tube insertion
10634,acquired blaschkoid dermatitis
10635,diarrhoea
10636,orbivirus test positive
10637,oropharyngeal swelling
10638,aureobasidium pullulans infection
10639,hydrocele operation
10640,salivary gland cancer stage iv
10641,potassium chloride sensitivity test abnormal
10642,heparin-induced thrombocytopenia test
10643,kyphosis congenital
10644,persistent pupillary membrane
10645,rheumatic brain disease
10646,haemolysis
10647,blepharospasm
10648,albumin globulin ratio abnormal
10649,gastrostomy tube removal
10650,saliva altered
10651,benign neoplasm of lacrimal duct
10652,oculopharyngeal dystrophy
10653,voyeurism
10654,substance abuser
10655,fibrous dysplasia of jaw
10656,prothrombin time ratio increased
10657,hyperhomocysteinaemia
10658,precursor b-lymphoblastic lymphoma stage iii
10659,rhesus incompatibility
10660,malignant hypertension
10661,oesophageal-pulmonary fistula
10662,adenosquamous cell lung cancer stage ii
10663,purpura
10664,gastritis haemorrhagic
10665,administration site reaction neonatal
10666,allergic gastroenteritis
10667,white blood cell count abnormal
10668,conjunctival bleb
10669,albumin globulin ratio normal
10670,chromosomal deletion
10671,primary hyperoxaluria
10672,antasthmatic drug level
10673,intercepted product administration error
10674,ophthalmologic treatment
10675,dexamethasone suppression test negative
10676,patient entrapped in device
10677,pulse pressure increased
10678,diabetic retinal oedema
10679,aortic aneurysm rupture
10680,interstitial granulomatous dermatitis
10681,mononuclear cell percentage
10682,metamyelocyte count decreased
10683,mood swings
10684,high density lipoprotein abnormal
10685,temperature perception test abnormal
10686,dacryolith
10687,biliary tract infection
10688,ecchondroma surgery
10689,sleep apnoea syndrome
10690,action tremor
10691,drain site complication
10692,otitis media chronic
10693,stoma site haemorrhage
10694,lentigo maligna stage i
10695,diabetic encephalopathy
10696,angiocentric lymphoma recurrent
10697,collagen-vascular disease
10698,bladder disorder
10699,cholangiosarcoma
10700,chronic rhinosinusitis with nasal polyps
10701,haemophagocytic lymphohistiocytosis
10702,oropharyngitis fungal
10703,bloody peritoneal effluent
10704,urine bilirubin decreased
10705,total lung capacity decreased
10706,ejaculation failure
10707,prenatal care
10708,urine calcium decreased
10709,urethral carbuncle
10710,pneumocentesis
10711,multiple system atrophy
10712,cephalin flocculation abnormal
10713,acquired amegakaryocytic thrombocytopenia
10714,seizure anoxic
10715,agnosia
10716,aortic surgery
10717,salpingolysis
10718,anti-thyroid antibody decreased
10719,vocal cord erythema
10720,foetal heart rate
10721,perineal necrosis
10722,urine cannabinoids increased
10723,peripheral arterial occlusive disease
10724,polioencephalitis
10725,labour induction
10726,platelet adhesiveness
10727,blood creatinine increased
10728,nervousness
10729,undifferentiated sarcoma
10730,spontaneous ejaculation
10731,phreniclasia
10732,application site purpura
10733,autoimmune pancreatitis
10734,nephrectomy
10735,puncture site pruritus
10736,benzodiazepine drug level abnormal
10737,spleen congestion
10738,diabetic microangiopathy
10739,carbon dioxide combining power decreased
10740,floating patella
10741,administration site movement impairment
10742,orthostatic hypotension
10743,physical thyroid examination abnormal
10744,low turnover osteopathy
10745,malignant neoplasm of islets of langerhans
10746,catheter site nodule
10747,gestational trophoblastic detachment
10748,carnitine-acylcarnitine translocase deficiency
10749,hypothalamic pituitary adrenal axis suppression
10750,medical device change
10751,congenital facial nerve hypoplasia
10752,abdominal sepsis
10753,ankle brachial index decreased
10754,blood albumin decreased
10755,cardiac function test abnormal
10756,progressive massive fibrosis
10757,haematuria traumatic
10758,breast pain
10759,spontaneous penile erection
10760,occupational exposure to communicable disease
10761,bladder lesion excision
10762,kidney enlargement
10763,abdominal pain
10764,prostaglandin analogue periorbitopathy
10765,oculopneumoplethysmogram normal
10766,free fatty acids
10767,pyruvate carboxylase deficiency
