hypersensitivity,reaction,prolactin
hypersensitivity,allergic,carb cravings
hypersensitivity,allergic reaction ,anxiety
hypersensitivity,allergic reaction,pee way too much
hypersensitivity,reaction,mobile
hypersensitivity,reaction,dream all types of crazy
hypersensitivity,allergic reaction,nap
hypersensitivity,allergic,flat
hypersensitivity,reaction,kicking my ass
hypersensitivity,allergic reaction ,feel like crap
hypersomnia,sleep for 12 hours,falling into a realm of utter disillusion
hypersomnia,asleep 24/7,eating incredibly differently
hypersomnia,sleep for dayyssss,grumpy
hypersomnia,sleep for dayyssss,cravings 
hypersomnia,sleeping 15 hrs,gained 3stone
hypersomnia,sleep for days,twerk me out
hypersomnia,asleep 24/7,gained 30 lbs
hypersomnia,sleep for 11 hours,withdrawals
hypersomnia,slept 11 hours,hands barely usable
hypersomnia,sleep for dayyssss,sick
hypomania,hypomania,hurt
hypotension,blood pressure low,falling into a realm of utter disillusion
illogical thinking,bizarre thoughts,hangover
illusion,acid like trips,brain feels like its actually vibrating
immobile,mobile,bad dreams
increased appetite,increase my appetite,sleepy
increased appetite,"just eat, and eat",tiiiiired
increased appetite,"just eat, and eat",allergic
increased appetite,ate,nap time
increased appetite,ate,withdrawals
increased appetite,increased appetite,dream
influenza like illness,flu iike symptoms,ocd
influenza like illness,flu symptoms,aches
influenza like illness,flu symptoms,heart started lurching
injection site pain,burns,messing with my sleep
injection site pain,burns,acne
insomnia,can't sleep,aches
insomnia,awake,irrational
insomnia,3am,angry
insomnia,insomniac,nap
insomnia,insomnia,withdrawal
insomnia,don't sleep,allergic reaction 
insomnia,sleep,coma
insomnia,got ten minutes of sleep,dying
insomnia,3am,impossible to cry
insomnia,awake,antipsychotics
insomnia,sleep,like wading through treacle getting up
insomnia,insomnia,legs
insomnia,can't go back to sleep,like wading through treacle getting up
insomnia,vampire,lose my temper
insomnia,insomnia,sad
insomnia,sleeping schedule of a vampire,feeling like a train wreck
insomnia,won't sleep,put on weight
insomnia,nosleep,back to sleep
insomnia,awake,allergic reaction
insomnia,insomnia,knocked me sidewards
insomnia,wideawake,dehydration
insomnia,not sleeping,sedative
insomnia,awake,withdrawals
insomnia,no sleep,sucked going from 100mg desvenlafaxine / day to zero
insomnia,3am,sedated 
insomnia,wide awake,irritated
insomnia,awake,crazy shit in my dreams
insomnia,sleeping schedule of a fucking vampire,headache
insomnia,cant sleep,cant keep still
insomnia,won't sleep,nauseous
insomnia,keeping me up,like taking rat poison
insomnia,insomnia,yawning
insomnia,can't sleep,just woke up
insomnia,awake,grind my teeth
insomnia,insomnia,gained over 20 lbs
insomnia,haven't slept,akathisia
insomnia,wideawake,waking up without knowing i feel asleep
insomnia,got ten minutes of sleep,sleeping 15 hrs
insomnia,nosleep,gorked
insomnia,sleep,hotflashes
insomnia,can't sleeeep,hip
insomnia,insomnia,dry mouth
insomnia,sleepless,stops you from jizzing
insomnia,awake,hallucinate 
insomnia,not sleeping,stop spending all of your income in food
insomnia,nosleep,dreams
insomnia,sleeping schedule of a fucking vampire,sluggish
insomnia,insomnia,no taste
insomnia,awake,withdrawals
insomnia,cantsleep,rash
irritability,irritability,addicted
irritability,irritable,not sleeping
irritability,irritable,allergic reaction
irritability,hating the world,tiiiiired
irritability,hating the world,throat is raw
irritability,irritable,hangover
irritability,hating the world,withdrawal
jc virus infection,jcv,did make my legs go
laziness,stay in shape,withdrawal
lethargy,lethargy,hurt
lethargy,lethargic,nearly killed me
lethargy,lethargy,couldn?t walk
limb injury,blew out my arms,sick
limb injury,blew out my arms,3am
limb injury,blew out my arms,high
logorrhoea,talk a mile a minute,disable
loss of consciousness,knocks you outttttttt,feels like the sahara desert in my mouth
loss of consciousness,knock me the fuck out ,tolerance to the sun
loss of consciousness,knock me the fuck out ,naptime
loss of libido,"dont get it, sex",loss of appetite
loss of libido,sex drive,addicted
loss of libido,look at my farrah fawcett poster,antsy
loss of libido,you are so horny and i am not,twerk me out
loss of libido,libido,addiction
loss of libido,sex drive,rocking
loss of libido,you are so horny and i am not,drowsy
loss of libido,sex drive,not eat
loss of libido,reduces libido,headache
loss of libido,look at my farrah fawcett poster,paraesthesia
loss of libido,killed my libido,insomnia
lung disorder,lungs,dry mouth
lung disorder,lungs,hangover
lung disorder,destroyed my lungs,withdrawal
malaise,terrifying,vision blurry
malaise,feel like shit,headaches 
malaise,feeling ill,can't sleeeep
malaise,not feeling good,overheating
malaise,siiiiiiiiiiiiiiick, withdrawal
malaise,not dangerous but it is damn unpleasant,can't eat
malaise,sick,heart stopped
malaise,sick,migraines
malaise,sick,sucidal thoughts
malaise,sick,nightmare
malaise,like taking rat poison,zombies
malaise,sick,discomfort
malaise,fucked up,lightweight
malaise,feeling like absolute shit,bloat
malaise,yucky,hunger
malaise,nasty,heart was hurting
malaise,sick,restlesslegs
malaise,sick,hypomania
malaise,wrecked,pains
malaise,like taking rat poison,panic attack
malaise,sick,feels like when you come off heroin
malaise,sick, tremors
malaise,feel like crap,insomnia
malaise,sick,dream
malaise,3 days of hell,discontinuation syndrome
malaise,not feeling good,pains
malaise,feeling like a train wreck,food just looks/sounds/tastes fucking disgusting
malaise,siiiiiiiiiiiiiiick,withdrawal
malaise,sick,vomiting
malaise,feel like death,gastic upset
malaise,feeling ill,dreams became vivider
malaise,equivalent to torture,shaking
malaise,sick,diabetes risk
malaise,like taking rat poison,binge
malaise,not dangerous but it is damn unpleasant,hating food
malaise,sick,desperation
malaise,feel so ick,chest pain
malaise,sick,eating
malaise,not dangerous but it is damn unpleasant,breath smells
malaise,sick,coma
malaise,sick,manic reactions
mania,manic,fat
mania,manic,withdrawal
mania,manic reactions,messed me up
memory impairment,value your brain cells,diabetes risk
memory impairment,amnesic,taste
memory impairment,cooked my brain,almost vomited
memory impairment,amnesic,"metabolic"""" syndrome"
memory impairment,cooked my brain,orgasm
memory impairment,amnesic, withdrawls
memory impairment,amnesic,feel like i need to throw up
mental disorder,driving my fucking mind up the fucking wall,restless leg syndrome
mental disorder,driving my fucking mind up the fucking wall,lightweight
mental fatigue,mentally drained,sex drive
mental impairment,brain is melting,messed up dreams
mental impairment,brain so retarded,sick
mental impairment,dopey,tolerance
mental impairment,brain so retarded,rage
mental impairment,retarded,addicted
mental impairment,brain is melting,bone
mental impairment,descent into madness,stopped working
mental impairment,brain so retarded,t cell went up
mental impairment,descent into madness,thirsty
mental impairment,symptoms of schizophrenia,can't think as fast
mental impairment,fuck with your head,slept horribly
mental impairment,brain so retarded,suicidal
mental impairment,descent into madness,joint pain
mental impairment,descent into madness,like wading through treacle getting up
metabolic syndrome,"metabolic"""" syndrome",pain
migraine,migraines,zap noises
migraine,migraines,breastmilk production
migraine,migraine,nap
migraine,migraine,weird &amp; bizarre dreams
mood swings,mood swings,mixed episodes
mood swings,mood swings,ocd
mouth ulceration,ulcers in mouth,boobs humungous
muscle spasms,muscle spasms,lucidity
muscle spasms,muscle spasms,no appetite
muscle twitching,twitch,painful
muscle twitching,twitchy,sick
musculoskeletal discomfort,neck ache,out if it
musculoskeletal pain,musculo-skeletal pain,headache
mydriasis,dilated pupils,don't eat
nasal congestion,stuffy sinuses,nap
nasal congestion,sinuses close up,rip out my teeth
nasal dryness,dry nose,sleep for 11 hours
nausea,nauseous,tired
nausea,nausea,crazier
nausea,nausea,able to sleep at night
nausea,feel disgusting,14 hour nap
nausea,nausea,ate
nausea,nauseous,palpitations
nausea,nauaea,sloth
nausea,nauseous,triggers my rapid cycling
nausea,almost vomited,sweats
nausea,nauaea,back pain
nausea,nausea,tremors
nausea,nuasea,respiratory issues
nausea,feel disgusting,tolerance
nausea,nauseous,gained 40lbs
nausea,feel disgusting,headache
nausea,nausea,gained weight
nausea,almost vomited,memory loss
nausea,nauaea,mood swings
nausea,nauseated,sick
nausea,sick to my stomach,grinds the shit out of their teeth
near death experience,nearly killed me,random crying
near death experience,nearly killed me,crazier
neck pain,neck ache,psychotic episode
neck pain,neck,triggers my rapid cycling
neck pain,"neck, back, hip, and leg aches",withdrawal
negative thoughts,negative,septic c diff
nephrolithiasis,kidney stones,knee pain
nervous system disorder,neuro problems,triggers my rapid cycling
nervous system disorder,central nervous system breakdown,ruined my creativity
neuralgia,irritating my nerve endings,ocd
nicotine dependence,craving,nightmare
nicotine dependence,craving,back to sleep
nightmare,bad dreams,nauseous
nightmare,nightmares,messed me up
nightmare,nightmares,ache
nightmare,nightmares,crying
nightmare,horrendous venlafaxine dream,night terrors
nightmare,bad dreams,withdrawals
nightmare,nightmare,throat is raw
nightmare,bad dreams,depression.
obsessive-compulsive disorder,ocd,walking dead
obsessive-compulsive disorder,ocd,weird &amp; bizarre dreams
obsessive-compulsive disorder,ocd,headache
obsessive-compulsive disorder,ocd,withdrawal
obsessive-compulsive disorder,ocd,addiction
obsessive-compulsive disorder,ocd,tweaking
obsessive-compulsive disorder,ocd,withdrawls
oedema,oedema, carb cravings
oscillopsia,vision shake,gained 80 pounds
pain,hurt,withdrawal
pain,pain,beat up
pain,aches and pains,psychotic episode
pain,pain,diarrhea
pain,pain,after-sting
pain,pain,eh whatever
pain,aches,withdrawal
pain,hurt,can't think as fast
pain,aching,water weight
pain,pains,puking
pain,oww,drowsy
pain,pain,burn my veins
pain,aches,nauaea
pain,painful, burns
pain,pain,can't eat
pain,pains,tiiiiired
pain,aching,shakes
pain,body ache,dreams
pain,hurt,nosleep
pain,pain,withdrawals
pain,pain,gaining weight
pain,painful,steven johnson syndrome
pain,aches and pains,panic attacks
pain,aches,withdrawal
pain,pain,hangovers
pain,shooting pains down arms,exhausting
pain,pain,depressed
pain,aches,wear-off
pain,aches,confused
pain,hurts,talk a mile a minute
pain,aches,knee pain
pain,pain,depressed
pain,painful,withdrawals
pain,pains,lightweight
pain,pain,tremors
pain,pains,discontinuation syndrome
pain in extremity,legs,hit hard
pain in extremity,heels,irritable
pain in extremity,arms just keep getting worse.,fuzziness
pain in extremity,limbs ached,psychotic episode
pain in extremity,heels,gorked
pain in extremity,legs,gain weight
pallor,pale,need to sleep
palpitations,palpitations,acne
palpitations,heart will explode,shooting pains down arms &amp; legs
palpitations,heart will explode,headache
pancreatitis,pancreatitis,crippled
panic attack,panic attacks,night terrors
panic attack,panic attacks,groggy in the morning
panic attack,panic attack,raised my blood pressure
paraesthesia,pinsandneedles,withdrawal 
paraesthesia,tingling,negative
paraesthesia,parasthesia,hungry
paraesthesia,pins &amp; needles,allergic
paraesthesia,brain feels like its actually vibrating,no appetite
paraesthesia,brain zaps,holes in my head
paraesthesia,paraesthesia,boobs humungous
paraesthesia,brain zaps,pain
paraesthesia,pins &amp; needles,hungry
paraesthesia,paraesthesia,dizziness
paraesthesia,brain zap,stop spending all of your income in food
paranoia,paranoia,fever
peripheral swelling,swollen lower legs,vertigo
peripheral swelling,swollen lower legs,nausea
personality change,make me a bigger asshole,"awesome vision, to wearing glasses"
personality change,makes me an asshole,hotflashes
personality change,makes me an asshole,sleep for 11 hours
personality disorder,mean,nap
pharyngeal hypoaesthesia,cant feel my throat,working any more
photosensitivity reaction,tolerance to the sun,floatin
photosensitivity reaction,burnt,restlessness
photosensitivity reaction,cannot be in the sun,ocd
photosensitivity reaction,tolerance to the sun,rash
pollakiuria,pee so often,horrendous venlafaxine dream
pollakiuria,pee way too much,drowsy
poor peripheral circulation,loss of circulation ,crawl in a hole
poor quality sleep,poor sleep,sick
poor quality sleep,quality,sweats
premature ejaculation,come too fast,withdrawals
presyncope,vasovagal pre-syncope,yawn
priapism,priapism,knocks you outttttttt
priapism,priapism,sleeping schedule of a vampire
priapism,priapism,withdrawals
pruritus,leg is itching,feeling like you have to poop
pruritus,itchy skin ,sleep
pruritus,leg is itching,flare
psychomotor hyperactivity,hyper,barely keep my eyes open
psychotic behaviour,psychotic reactions,crippled
psychotic disorder,crazier,might notice if i got hit in the crotch w/ a lance in a jousting accident
psychotic disorder,antipsychotics,musculo-skeletal pain
psychotic disorder,crazier,addictive
psychotic disorder,psychosis,anxiety
psychotic disorder,psychosis,ocd
psychotic disorder,psychotic episode,screwing up my sleep
psychotic disorder,psychotic episode,sleep for days
psychotic disorder,crazy ish,mood swings
pyrexia,fever,pain
rash,rash,stay in shape
rash,rash,flu symptoms
rash,rash,no appetite
rash,rash,stuffy sinuses
rash,rash ,passes out
rash,rash,increase my appetite
rash,rash ,broken sleep
rash,rash,depressed
rebound effect,rebound,withdrawals
rectal tenesmus,feeling like you have to poop,leg aches
respiratory disorder,respiratory issues,nuasea
respiratory disorder,respiratory probs,sicksicksick
restless legs syndrome,rls,t cell went up
restless legs syndrome,restless arms &amp; legs,withdrawals
restless legs syndrome,rls,appetite is still terrible
restless legs syndrome,rls,makes me an asshole
restless legs syndrome,rls,bloodbath
restless legs syndrome,rls,manic reactions
restless legs syndrome,did make my legs go,shivers
restless legs syndrome,rls,addicted
restless legs syndrome,rls,joint pain
restless legs syndrome,did make my legs go,priapism
restless legs syndrome,rls,sleepy
restlessness,feet are always going,hip joints just started hurting
restlessness,antsy,puking
restlessness,restlessness,blurry vision
restlessness,restlessness,murdering my mind
restlessness,restlessness,flu symptoms
restlessness,restlessness,never sleep
restlessness,restlessness,painful
rheumatoid arthritis,flare,over think
saliva altered,saliva,lightweight
screaming,screaming,wreck my head
sedation,hit hard,burns
sedation,hit hard,restlessness
sedation,sedating,awake all night
sedation,sedated ,wide awake
seizure,seizures,joint pain
seizure,convulsions,tired
seizure,convulsions,"neck, back, hip, and leg aches"
self-injurious ideation,destroy myself,cold
sexual dysfunction,no legit sex,weird
skin disorder,skin issues,reaction
skin disorder,skin issues,dizzing
sleep disorder,slept horribly,addiction
sleep disorder,messed up my sleep,vomit
sleep disorder,broken sleep,withdrawal
sleep disorder,screwing up my sleep,leg is itching
sleep disorder,horrible sleep,discomfort
sleep disorder,messing with my sleep,emotional
sleep disorder,sleep,taste
sleep disorder,wrecking my sleep,miserable
sleep disorder,messing with my sleep,eyes worse
sleep disorder,sleep,allergic
sleep disorder,back to sleep,sleeping 12 hours a night
sleep disorder,disturbed sleep,restlessness
sleep disorder,disturbed sleep,hyper
sleep disorder,sleep,don't eat
sleep disorder,disturbed sleep,confusion
sleep disorder,horrible sleep,drowsy
sleep disorder,light nights sleep,sleepy
sleep paralysis,sleep paralysis,just about dead
sleep paralysis,sleep paralysis,brain zaps
sleep paralysis,sleep paralysis,withdrawals
sleep terror,night terrors,knackered when i wake
sluggishness,sluggish,starving
sluggishness,slow turtle,doesn't care about my bed time
sluggishness,sloth,withdrawal 
social avoidant behaviour,withdrawn ,dreams
somnambulism,sleep walking,dry mouth
somnolence,troubles waking up,zombified
somnolence,sleepy,withdrawal
somnolence,knocked me out,gaining weight
somnolence,sleepy,dry nose
somnolence,sleep right now,need to sleep
somnolence,just now wake up,couldn?t walk
somnolence,just about dead,dry mouth
somnolence,sleepy,want to sleeeeep
somnolence,nap,withdrawals
somnolence,sleepy,fluid retention
somnolence,troubles waking up,slow turtle
somnolence,drowsy,ocd
somnolence,sleeping,wrecking my sleep
somnolence,drowsy,gained 40lbs
somnolence,sleep past 24hrs,coming of it was horrific
somnolence,naptime,tingling
somnolence,cant get up,interfering with my visions
somnolence,sleepy,sleep paralysis
somnolence,groggy in the morning,interfering with my visions
somnolence,sleepy,headache
somnolence,like wading through treacle getting up,depressed
somnolence,sleepy,may not switch your brain off
somnolence,sleep right now,withdrawals
somnolence,nap,back ache
somnolence,coma,sick
somnolence,asleep,flu iike symptoms
somnolence,drowsy,weight gain
somnolence,nap time,jolting
somnolence,knackered when i wake,no sleeping
somnolence,naptime,back pain
somnolence,falling asleep every day,crippled
somnolence,sleepy,common for apartments to be haunted
somnolence,just now wake up,feeling like a train wreck
somnolence,sleepy,withdrawal
somnolence,whacks me out,zap noises
somnolence,whacks me out,destroyed my lungs
somnolence,knackered when i wake,zombiness
somnolence,unconscious,respiratory probs
somnolence,sleep past 24hrs,jcv
somnolence,need to be awake,cold
somnolence,coma,tourettes
somnolence,taken control of my eyes,cant feel my throat
somnolence,slept 13-14 hrs,cravings
somnolence,nap,gained over 20 lbs
somnolence,sleep for days,brain zaps
somnolence,sleeping 9 hours in the day,weak knees
somnolence,nap,weight gain
somnolence,nap,withdrawal
somnolence,drowsy,heart attack
somnolence,sleepy,sedating
somnolence,sleepies,slow
somnolence,sleepy,digestive problems
somnolence,difficult to wake up,hurt
somnolence,just now wake up,cough
somnolence,nap,driving me insane
somnolence,prop my eyelids open,nausea
somnolence,drowsy,brain zap
somnolence,troubles waking up,headache
somnolence,not stay up,nauseous
somnolence,feels like one of those 5-cup #coffee days,allergic
somnolence,difficult to wake up,coming off effexor was the worst
stevens-johnson syndrome,steven johnson syndrome,tired
stress,stressful,headaches 
stress urinary incontinence,stress incontinence,craving
suicidal ideation,sucidal thoughts,feel like i can't even stand
suicidal ideation,suicidal thoughts,hip
suicidal ideation,suicidal,zap me of all energy
suicidal ideation,suicidal thoughts,withdrawals
suicidal ideation,sucidal thoughts,headache
systemic lupus erythematosus,lupus flare,driving me insane
tachyphrenia,mind races,withdrawal
tachyphrenia,think too much , withdrawls
tachyphrenia,mind races,migraines
tachyphrenia,think too much ,drowsy
tachyphylaxis,doesn't even work for me anymore,sex drive
tachyphylaxis,working any more,brain so retarded
tachyphylaxis,stopped working,dizzy
tachyphylaxis,stopped working,gorked
tachyphylaxis,tolerance,sleepies
tachyphylaxis,not working as well,depressed
tachyphylaxis,tolerant,ill
tachyphylaxis,stopped working,coming off cymbalta sucks
tachyphylaxis,working any more,rls
tachyphylaxis,stopped working,withdraw
tachyphylaxis,stopped working,ache
taste disorder,taste,irrational
tendon pain, tendons in lots of pain,sleep
tendon rupture,tendon rupture,can't cum
tendonitis,tendonitis,munchies
tension,tension in my nerves,irrational
thinking abnormal,common for apartments to be haunted,withdrawals
thinking abnormal,irrational,headaches
thirst,thirsty,destroyed my lungs
throat irritation,throat is raw,gained 40lbs
thyroid disorder,thyroid,rls
tourette's disorder,tourettes,yawn
toxicity to various agents,toxicity,vision blurry
toxicity to various agents,toxic,energy
toxicity to various agents,toxic reactions,fucks up my sleep
tremor,tremors,vomitting
tremor, tremors,hallucinations
tremor,shakes,can't sleep
tremor,shaky,just now wake up
tremor,tremors,dreams
tremor,tremors,eyes worse
tremor,tremors,hungover
tremor,tremors,insomnia
tremor,shaking,cotton mouth
tremor,tremors in hands and legs,aching
tremor,shaking,feel so ick
tremor,shakes,cant really walk
tremor,tremors in hands and legs,shoulder ache
tremor,shaky,put much weight on
upper-airway cough syndrome,drip,dry mouth
urinary incontinence, like niagara falls when i cough,gorked
vertigo,vertigo,feel hot
vertigo,going to my head,prolactin levels
vertigo,vertigo,depressed
vision blurred,blurry-eyed,withdrawals
vision blurred,blurry vision,tired
vision blurred,vision blurry,intense dreams
visual impairment,"awesome vision, to wearing glasses",added 1 stone
visual impairment,see shapes,floatin
visual impairment,eyesight,withdrawal
visual impairment,see shapes,cough
visual impairment,interfering with my visions,crippled
vitamin d deficiency,vitamin d malsorption,hit hard
vomiting,puking,sick
vomiting,vomitting,cry 
vomiting,vomiting,feeling like shit
vomiting,urge to vomit,won't you let me eat
vomiting,urge to vomit,can't even get whipped cream out of the can
vomiting,vomit,pain
vomiting,vomit,cravings
weight decreased,lost 4 stone,kills my libido
weight decreased,lost tons of weight,withdrawal
weight decreased,lost 17 pounds,feel like crap
weight decreased,wt loss,heart will explode
weight increased,olanzapine lbs,stressful
weight increased,gainin weight,hungry
weight increased,weight i put on,got ten minutes of sleep
weight increased,weight,get the horn my life
weight increased,fat,priapism
weight increased,gained 30 lbs,dreams
weight increased,gain unwanted pounds,withdrawal
weight increased,increase my weight,panic attack
weight increased,not being able to fit into summer wardrobe,alcoholism
weight increased,olanzapine lbs,feet are always going
weight increased,weight gain,balm
weight increased,weight still keeps coming,psychosis
weight increased,fat.,taste
weight increased,weight gain,nightmare
weight increased,fatness,eat
weight increased,gain weight,angry
weight increased,gain 20 lbs,rebound
weight increased,gain unwanted pounds,knackered when i wake
weight increased,weight gain,withdrawn 
weight increased,fatness,weird &amp; bizarre dreams
weight increased,gain so much weight,neck ache
weight increased,fat.,pains
weight increased,fat.,won't sleep
weight increased,gained 80 pounds,"you can check in, but you can never leave"
weight increased,gained over 20 lbs,knocked me out
weight increased,weight gain,lost effectiveness
weight increased,potato drug bcuz that's what i looked like,itchy skin 
weight increased,gained 40lbs,swollen feet
weight increased,weight gain,worsening pain
weight increased,fat.,tremors in hands and legs
weight increased,increase my weight,suicidal thoughts
weight increased,weight,ocd
weight increased,fat.,nosleep
weight increased,fat.,libido
weight increased,gain 20 lbs,mentally drained
weight increased,fatness,nightmare
weight increased,stacked on the weight,fast pulse
weight increased,gained 80 pounds,dizziness
weight increased,weight gain,limping
weight increased,stacked on the weight,sick
weight increased,gain unwanted pounds,ocd
weight increased,gain weight,heart started lurching
weight increased,fat,boobs humungous
weight increased,gained 80 pounds,crazy shit in my dreams
weight increased,olanzapine lbs,screaming
weight increased,gain weight,can't go back to sleep
weight increased,not being able to fit into summer wardrobe,wrecked
weight increased,gained 3stone,look at my farrah fawcett poster
weight increased,weight still keeps coming,hallucinations
weight increased,gain weight,sweaty
weight increased,look like a whale,withdrawals
weight increased,weight gain,increase my appetite
weight increased,weight gain, withdrawal
white blood cell count increased,t cell went up,coming off effexor is not fun
withdrawal syndrome,sucked going from 100mg desvenlafaxine / day to zero,barely function
withdrawal syndrome,withdrawal,loopy
withdrawal syndrome,withdraw,going to my head
withdrawal syndrome,withdraw,paranoia
withdrawal syndrome,coming of it was horrific,pains
withdrawal syndrome,withdrawal,thirty minutes to type
withdrawal syndrome,withdraw,weight-gaining
withdrawal syndrome,coming of it was horrific,tummy
withdrawal syndrome,withdrawl,nauseous
withdrawal syndrome,withdrawal,tremors
withdrawal syndrome,difficult to come off,eat so much
withdrawal syndrome, withdrawls,"hip, and leg aches"
withdrawal syndrome,coming off it,might notice if i got hit in the crotch w/ a lance in a jousting accident
withdrawal syndrome,withdrawal,pain
withdrawal syndrome,coming of it was horrific,sleep for days
withdrawal syndrome,difficult to come off,vomit
withdrawal syndrome,withdrawal,shaky
withdrawal syndrome,withdrawals,gain so much weight
withdrawal syndrome,difficult to come off,feel disgusting
withdrawal syndrome,withdraw,burping
withdrawal syndrome,withdrawal,irritable
withdrawal syndrome,withdrawal,stay in shape
withdrawal syndrome,coming off cymbalta sucks,zombie
withdrawal syndrome,withdrawl,aches and pains
withdrawal syndrome,with drawls,not being able to fit into summer wardrobe
withdrawal syndrome,withdrawals,rage breaking things
withdrawal syndrome,withdrawals,just about dead
withdrawal syndrome,withdrawal,horrendous venlafaxine dream
withdrawal syndrome,withdrawals,not let me sleep
withdrawal syndrome,withdrawal,eyesight
withdrawal syndrome,sucked going from 100mg desvenlafaxine / day to zero,screwing up my sleep
withdrawal syndrome,withdrawal ,boobs humungous
withdrawal syndrome,withdrawals,rage
withdrawal syndrome,withdrawals,brain is melting
withdrawal syndrome,withdrawal,parasthesia
withdrawal syndrome,withdrawal,panic attack
withdrawal syndrome,withdrawals,aches
withdrawal syndrome,withdrawals,addictive
withdrawal syndrome,withdrawal,hangover
withdrawal syndrome,discontinuation syndrome,"awesome vision, to wearing glasses"
withdrawal syndrome,coming off effexor is not fun,miserable
withdrawal syndrome,discontinuation syndrome,ate
withdrawal syndrome,withdrawal,you are so horny and i am not
withdrawal syndrome,withdrawal,3 days of hell
withdrawal syndrome,withdrawal,symptoms of schizophrenia
withdrawal syndrome,withdrawal,pooped out
withdrawal syndrome,discontinuation syndrome,sleepy
withdrawal syndrome,withdrawals,weight
withdrawal syndrome,withdrawal,add
withdrawal syndrome,coming off effexor is not fun,think too much 
withdrawal syndrome,withdrawal,hairloss
withdrawal syndrome,withdrawal,nearly killed me
withdrawal syndrome,withdrawal,tired
withdrawal syndrome,withdrawals,twitch
withdrawal syndrome,difficult to come off,talk a mile a minute
withdrawal syndrome,withdrawal,crippled
withdrawal syndrome,coming of it was horrific,nauseated
withdrawal syndrome,with drawls,pain
withdrawal syndrome,withdrawals,swollen feet
withdrawal syndrome,withdrawal,crying
withdrawal syndrome,withdraw,not sleeping
withdrawal syndrome,withdrawal,like wading through treacle getting up
withdrawal syndrome,withdrawal,sleepless
withdrawal syndrome,withdrawal,vertigo
withdrawal syndrome,withdrawal,feels like one of those 5-cup #coffee days
withdrawal syndrome,withdrawal,look at my farrah fawcett poster
withdrawal syndrome,withdrawals,crippled
withdrawal syndrome,sucked going from 100mg desvenlafaxine / day to zero,ocd
withdrawal syndrome,going off of olanzapine is no picnic,sluggish
yawning,yawn,tolerance to the sun
yawning,yawn,dry mouth
abdominal discomfort,digestive problems,migraines
abdominal discomfort,gastic upset,cravings 
abdominal distension,bloated,yawn
abdominal distension,bloat,dream
abdominal distension,bloated,addicted
abdominal pain,tummy,want to sleeeeep
abdominal pain,tummy trouble,back pain
abdominal pain,"killing""""  my tummy",dream
abdominal pain,tummy trouble,unconscious
abdominal pain,tummy pains,withdrawl
abdominal pain upper,stomach cramps,bone
abnormal behaviour,behaving oddly,sinuses close up
abnormal dreams,dream,headache
abnormal dreams,dream,heart rate
abnormal dreams,lucidity,sleeping 15 hrs
abnormal dreams,intense dreams,knock me the fuck out 
abnormal dreams,dreams,sleeping
abnormal dreams,dreams,pains
abnormal dreams,intense dreams,feeling like you have to poop
abnormal dreams,dream,not being able to fit into summer wardrobe
abnormal dreams,dreams,headaches 
abnormal dreams,dream all types of crazy,3am
abnormal dreams,dream,make those numbers bigger
abnormal dreams,dreams,vitamin d malsorption
abnormal dreams,dreams,rip out my teeth
abnormal dreams,weird dreams,weight gain
abnormal dreams,crazy shit in my dreams,make those numbers bigger
abnormal dreams,dream,zombie
abnormal dreams,dream, sleeping 18 hrs a day 
acne,acne,coming off klonopin and paxil was hell
acne,acne,blurry-eyed
acne,acne,hands barely usable
affect lability,inside i was still screaming,oww
affect lability,instability,can't sleep
affect lability,inside i was still screaming,angry
affect lability,emotional,wideawake
ageusia,no taste,addicted
aggression,lose my temper,headache
aggression,lose my temper,bloodbath
agitation,jacked up,rash
agitation,rip out my teeth,insomnia
agitation,rip out my teeth,groggy
akathisia,rocking,not sleeping
akathisia,restless arms,zombie
akathisia,restless arms,sleep right now
alcohol intolerance,lightweight,dying
alcohol intolerance,lightweight,nosleep
alcoholism,alcoholism,munchies
alopecia,hairloss,crying
alopecia,hairloss,shaking
alopecia,hair falling out,not let me sleep
alopecia,hair falling out,lung issues
amnesia,memory loss,drip
amnesia,memory loss,acid like trips
anaphylactic shock,anaphylactic shock,discontinuation syndrome
anger,angry,light nights sleep
anger,rage breaking things,shooting pains down arms
anger,rage,awake
anger,rage,twice as drunk
anger,rage,addictive
anger,angry,worsening pain
anger,rage,depression.
anger,mad,nap
anger,raging,nap
anger,rage,munchies
anger,angry,wonky
anorgasmia,stops you from jizzing,psychotic reactions
anorgasmia,orgasm,dries mouth
anorgasmia,stops you from jizzing,feel like crap
anorgasmia,never have another orgasm,low grade temp
anorgasmia,can't cum,irritated
anorgasmia,ability to cum,comedown is hell
anorgasmia,ejaculate,jcv
anxiety,anxious,mute
anxiety,anxiety,addicted
apathy,unresponsible,make those numbers bigger
apathy,eh whatever,nightmares
aphasia,mute,jacked up
appetite disorder,tear my own face off &amp; eat it,sluggish
appetite disorder,tear my own face off &amp; eat it,tiered
appetite disorder,eating incredibly differently,back pain
arrhythmia,heart arrhythmia,weight gain
arthralgia,knee pain,withdrawals
arthralgia,aching knees,allergic reaction
arthralgia,aching knees,not sleeping
arthralgia,joint pain, tendons in lots of pain
arthralgia,hip joints just started hurting,heart rate
arthralgia,hip joints just started hurting,portions prob too big
arthralgia,joint pain,pain
arthralgia,shoulder,spazzing out
arthralgia,hip joints just started hurting,addictive
arthralgia,shoulder ache,crippled
arthralgia,shoulder ache,disturbed sleep
