ENG,term_HLT,term_HLGT,term_SOC
Tuberculid,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Magnetic resonance imaging abdominal abnormal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Fibrous dysplasia of bone,Non-site specific bone disorders congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Sialectasia,Salivary gland disorders NEC,Salivary gland conditions,Gastrointestinal disorders
Peritoneal dialysate leakage,Dialysis related complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Dust inhalation pneumopathy,Chest and respiratory tract injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Ovarian germ cell cancer stage II,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Medical device site induration,Complications associated with device NEC,Complications associated with device,General disorders and administration site conditions
Eyelid weights application,Eyelid therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures
"Follicle centre lymphoma, follicular grade I, II, III","Follicle centre lymphomas, follicular grade I, II, III",Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Bone fissure,Fractures and dislocations NEC,Bone and joint injuries,"Injury, poisoning and procedural complications"
Congenital oxalosis,Inborn errors of metabolism NEC,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Therapeutic agent urine positive,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Klebsiella sepsis,Klebsiella infections,Bacterial infectious disorders,Infections and infestations
Trichodynia,Pilar disorders NEC,Skin appendage conditions,Skin and subcutaneous tissue disorders
Hereditary optic atrophy,Genetic mitochondrial abnormalities NEC,Cytoplasmic disorders congenital,"Congenital, familial and genetic disorders"
Altered state of consciousness,Disturbances in consciousness NEC,Neurological disorders NEC,Nervous system disorders
Blood aldosterone,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Postprandial hypoglycaemia,Hypoglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders
Body temperature decreased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Chronic lymphocytic leukaemia refractory,Leukaemias chronic lymphocytic,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Fractured zygomatic arch elevation,Fracture treatments (excl skull and spine),Bone and joint therapeutic procedures,Surgical and medical procedures
Endotoxic shock,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infections and infestations
Allergy alert test,Immunology skin tests NEC,Immunology and allergy investigations,Investigations
Tuberculosis bladder,Tuberculous infections,Mycobacterial infectious disorders,Infections and infestations
Erythema,Erythemas,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Infusion site plaque,Infusion site reactions,Administration site reactions,General disorders and administration site conditions
Incision site abscess,Infections NEC,Infections - pathogen unspecified,Infections and infestations
Product storage error,Product storage errors and issues in the product use system,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Amputation,Limb therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures
Renal phospholipidosis,Nephropathies and tubular disorders NEC,Nephropathies,Renal and urinary disorders
Gallbladder cancer stage 0,Gallbladder neoplasms malignant,Hepatobiliary neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Congenital knee deformity,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Cardiac pseudoaneurysm,Myocardial disorders NEC,Myocardial disorders,Cardiac disorders
Neonatal hepatomegaly,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Lymphatic obstruction,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders
B-cell lymphoma stage III,B-cell lymphomas NEC,Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Orgasm abnormal,Orgasmic disorders and disturbances,"Sexual dysfunctions, disturbances and gender identity disorders",Psychiatric disorders
Supernumerary vertebra,Musculoskeletal and connective tissue disorders of spine congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Anti-epithelial antibody negative,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Haemangioma rupture,Cardiovascular neoplasms benign,Miscellaneous and site unspecified neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cystoscopy,Urinary tract imaging procedures,Renal and urinary tract investigations and urinalyses,Investigations
Erosive oesophagitis,Oesophageal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastrointestinal disorders
Calcium ionised increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Macrocytosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood and lymphatic system disorders
Parotitis,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infections and infestations
Neuropsychological test,Psychiatric investigations,"Neurological, special senses and psychiatric investigations",Investigations
Neonatal exchange blood transfusion,Blood and blood product treatment,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Mononeuropathy,Mononeuropathies,Peripheral neuropathies,Nervous system disorders
Sideropenic dysphagia,Oesophageal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders
Artificial urinary sphincter implant,Urethral therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Spinal segmental dysfunction,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders
Foetal damage,Foetal complications NEC,Foetal complications,"Pregnancy, puerperium and perinatal conditions"
Magnetic resonance imaging brain,Central nervous system imaging procedures,"Neurological, special senses and psychiatric investigations",Investigations
Microsleep,Sleep disturbances NEC,Sleep disturbances (incl subtypes),Nervous system disorders
Prekallikrein increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Blast cell count decreased,Haematological analyses NEC,Haematology investigations (incl blood groups),Investigations
Blood thyroid stimulating hormone abnormal,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Investigations
Vessel puncture site paraesthesia,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
Blood heavy metal test,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Instillation site hypersensitivity,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Osteoporosis,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders
Haematoma evacuation,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surgical and medical procedures
Peripheral arterial reocclusion,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Brachytherapy to prostate,Prostatic radiotherapies,Male genital tract therapeutic procedures,Surgical and medical procedures
Blood selenium decreased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Traumatic arthropathy,Bone and joint injuries NEC,Bone and joint injuries,"Injury, poisoning and procedural complications"
Nulliparous,Pregnancy related circumstances,Gender related factors,Social circumstances
Choroidal osteoma,Ocular neoplasms benign,Ocular neoplasms,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Musculoskeletal injury,Non-site specific injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Macular cyst,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Sadism,Paraphilias and paraphilic disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psychiatric disorders
Basal ganglia haematoma,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Type IV hypersensitivity reaction,Allergic conditions NEC,Allergic conditions,Immune system disorders
Neonatal tachycardia,Rate and rhythm disorders NEC,Cardiac arrhythmias,Cardiac disorders
Benign genitourinary tract neoplasm,Urinary tract neoplasms benign,Renal and urinary tract neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Apgar score,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Congenital hypothyroidism,Thyroid disorders congenital,Endocrine disorders congenital,"Congenital, familial and genetic disorders"
Hodgkin's disease lymphocyte predominance stage II supradiaphragm,Hodgkin's disease lymphocyte predominance type,Lymphomas Hodgkin's disease,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Obstructed labour,Labour onset and length abnormalities,Maternal complications of labour and delivery,"Pregnancy, puerperium and perinatal conditions"
Capillary nail refill test,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Investigations
Basedow's disease,Thyroid hyperfunction disorders,Thyroid gland disorders,Endocrine disorders
Thymus hypoplasia,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Latent autoimmune diabetes in adults,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders
Implantable defibrillator replacement,Cardiac device therapeutic procedures,Cardiac therapeutic procedures,Surgical and medical procedures
Pseudomembranous colitis,Clostridia infections,Bacterial infectious disorders,Infections and infestations
Hereditary renal microhaematuria,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders"
SARS-CoV-2 sepsis,Coronavirus infections,Viral infectious disorders,Infections and infestations
Protein C,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Bacterial urethritis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Traumatic spinal cord compression,Spinal cord injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Eczema vesicular,Dermatitis and eczema,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Pseudomyxoma peritonei,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Bronchial oedema,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders"
Haemorrhagic diathesis,Bleeding tendencies,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Blood and lymphatic system disorders
Platelet glycoprotein gene mutation,Coagulation disorders congenital,Blood and lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
Delayed follicular ripening,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Reproductive system and breast disorders
Application site reaction,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Endothelial protein C receptor polymorphism,Genetic polymorphisms,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Vascular access malfunction,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Visual field tests abnormal,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Pernicious anaemia,Anaemia deficiencies,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders
Protein deficiency,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Device breakage,Device physical property and chemical issues,Device issues,Product issues
Hepatitis B antibody,Virus identification and serology,Microbiology and serology investigations,Investigations
Tear break up time decreased,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Burkholderia test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Bronchitis bacterial,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Biopsy cartilage abnormal,Musculoskeletal and soft tissue histopathology procedures,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Parkes-Weber syndrome,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Bladder cancer stage II,Bladder neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
N-telopeptide urine normal,Biochemical markers of bone metabolism,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Disability assessment scale,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Product closure issue,Product packaging issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Intestinal adenocarcinoma,Gastrointestinal neoplasms malignant NEC,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Schistocytosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood and lymphatic system disorders
Diabetic neuropathy,Chronic polyneuropathies,Peripheral neuropathies,Nervous system disorders
Pharyngeal neoplasm benign,Pharyngeal and laryngeal neoplasms benign,Respiratory and mediastinal neoplasms benign (excl mesotheliomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Large intestine polyp,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastrointestinal disorders
Biliary cyst,Structural and other bile duct disorders,Bile duct disorders,Hepatobiliary disorders
Extragonadal primary non-seminoma stage II,Extragonadal primary germ cell neoplasms,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Gastrooesophageal variceal haemorrhage prophylaxis,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surgical and medical procedures
Ambidexterity,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Tick paralysis,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nervous system disorders
IIIrd nerve paralysis,Eye movement disorders,Cranial nerve disorders (excl neoplasms),Nervous system disorders
Gastropexy,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Myoglobinaemia,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders
Glucose-galactose malabsorption,Inborn errors of carbohydrate metabolism (excl glucose),Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Erosive balanitis,Penile and scrotal infections and inflammations,Male reproductive tract infections and inflammations,Reproductive system and breast disorders
Vessel puncture site induration,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
Antibiotic therapy,Antiinfective therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Rectourethral fistula,Gastrointestinal fistulae,Gastrointestinal conditions NEC,Gastrointestinal disorders
Breast ulceration,Breast disorders NEC,Breast disorders,Reproductive system and breast disorders
Benign peritoneal neoplasm,Gastrointestinal neoplasms benign NEC,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Prostatic specific antigen abnormal,Cell marker analyses,Cytogenetic investigations,Investigations
Angina pectoris,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders
Cytomegalovirus gastroenteritis,Cytomegaloviral infections,Viral infectious disorders,Infections and infestations
Haemofiltration,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Cholestatic pruritus,Pruritus NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Lupus pneumonitis,Lower respiratory tract inflammatory and immunologic conditions,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Blood calcium normal,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Toxicologic test abnormal,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Biliary tract infection viral,Viral infections NEC,Viral infectious disorders,Infections and infestations
Renal tubular dysfunction,Nephropathies and tubular disorders NEC,Nephropathies,Renal and urinary disorders
Lipomatosis,Lipid metabolism and deposit disorders NEC,Lipid metabolism disorders,Metabolism and nutrition disorders
Intestinal cyst,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastrointestinal disorders
Branchio-oto-renal syndrome,Ear disorders congenital NEC,Ear and labyrinthine disorders congenital,"Congenital, familial and genetic disorders"
Wrong patient,"Medication errors, product use errors and issues NEC",Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Paraphilia,Paraphilias and paraphilic disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psychiatric disorders
Dialysis related complication,Dialysis related complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
CSF white blood cell count increased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Rheumatoid factor decreased,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Vertebral artery perforation,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Lichen striatus,Papulosquamous conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Paranasal sinus and nasal cavity malignant neoplasm stage 0,Paranasal sinus and nasal cavity neoplasms malignant and unspecified,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Follicular dendritic cell sarcoma,Histiocytoses,Haematopoietic neoplasms (excl leukaemias and lymphomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Spondyloarthropathy,Spondyloarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders
Mueller-Weiss syndrome,Bone disorders NEC,Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders
Acquired porphyria,Metabolic disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders
Developmental delay,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions
Application site mass,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Pituitary cancer metastatic,Endocrine neoplasms malignant and unspecified NEC,Endocrine neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Neonatal pneumonia,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infections and infestations
Nasal valve collapse,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Hypothalamic hamartoma,Cerebral disorders congenital,Neurological disorders congenital,"Congenital, familial and genetic disorders"
Idiopathic CD4 lymphocytopenia,Leukopenias NEC,White blood cell disorders,Blood and lymphatic system disorders
Pulse pressure abnormal,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Central-alveolar hypoventilation,Sleep apnoeas,Sleep disturbances (incl subtypes),Nervous system disorders
Proprioceptive exercise,Nervous system therapeutic procedures NEC,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Malnutrition,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Mazzotti reaction,Dermatitis ascribed to specific agent,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Axial spondyloarthritis,Spondyloarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders
Methaemoglobin urine,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Death of relative,Bereavement issues,Family issues,Social circumstances
Genital herpes,Herpes viral infections,Viral infectious disorders,Infections and infestations
Haemangioma-thrombocytopenia syndrome,Skin vascular conditions NEC,Skin vascular abnormalities,Skin and subcutaneous tissue disorders
Electrocardiogram ST segment normal,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Accidental exposure to product packaging,Accidental exposures to product,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Feminisation acquired,Gender disorders,Reproductive tract disorders NEC,Reproductive system and breast disorders
Hepatitis B antibody abnormal,Virus identification and serology,Microbiology and serology investigations,Investigations
Product sterility lacking,Product contamination and sterility issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Uveitis-glaucoma-hyphaema syndrome,Eye and ear procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Persistent foetal circulation,Persistent foetal circulation disorders,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Ocular surface stem cell transplant rejection,Transplant rejections,Immune disorders NEC,Immune system disorders
Breath odour,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastrointestinal disorders
Neurofibrosarcoma recurrent,Neurofibrosarcomas,Soft tissue neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Diaphragmatic pacemaker insertion,Diaphragmatic therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Pseudocirrhosis,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Blood immunoglobulin E decreased,Immunoglobulin analyses,Immunology and allergy investigations,Investigations
Double stranded DNA antibody positive,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Granulocytopenia neonatal,Neutropenias,White blood cell disorders,Blood and lymphatic system disorders
Administration site hyperaesthesia,Administration site reactions NEC,Administration site reactions,General disorders and administration site conditions
Drug peak level,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Anti-RNA polymerase III antibody,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Dent's disease,Renal and urinary tract disorders congenital NEC,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders"
Palindromic rheumatism,Arthropathies NEC,Joint disorders,Musculoskeletal and connective tissue disorders
Viral oesophagitis,Viral infections NEC,Viral infectious disorders,Infections and infestations
Transfusion microchimerism,Transfusion related complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Aromatic L-amino acid decarboxylase deficiency,Inborn errors of amino acid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Hypercalciuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal and urinary disorders
Dilated pores,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Antasthmatic drug level below therapeutic,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Conjunctival papillae,"Conjunctival structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye disorders
Paranasal sinus and nasal cavity malignant neoplasm stage IV,Paranasal sinus and nasal cavity neoplasms malignant and unspecified,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Gastroenteritis sapovirus,Caliciviral infections,Viral infectious disorders,Infections and infestations
X-ray therapy to prostate,Prostatic radiotherapies,Male genital tract therapeutic procedures,Surgical and medical procedures
Postauricular fistula,Ear disorders congenital NEC,Ear and labyrinthine disorders congenital,"Congenital, familial and genetic disorders"
Neuroblastoma,Nervous system neoplasms malignant NEC,Nervous system neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Varicocele repair,Testicular and scrotal therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures
Nerve conduction studies normal,Neurologic diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Prothrombin level normal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Application site scab,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Coagulation factor XI level decreased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Drug tolerance increased,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),General disorders and administration site conditions
Rubella,Rubella viral infections,Viral infectious disorders,Infections and infestations
Parvovirus B19 test positive,Virus identification and serology,Microbiology and serology investigations,Investigations
Beach chair position,Patient positioning,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Urine calcium/creatinine ratio increased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Vaginal adenocarcinoma,Vaginal neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Electrocardiogram T wave amplitude increased,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Targeted cancer therapy,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Endocarditis haemophilus,Haemophilus infections,Bacterial infectious disorders,Infections and infestations
Peripheral artery aneurysm,Peripheral aneurysms and dissections,Aneurysms and artery dissections,Vascular disorders
Blood beta-D-glucan abnormal,Fungus identification and serology,Microbiology and serology investigations,Investigations
Anti-glomerular basement membrane disease,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal and urinary disorders
Morbihan disease,Erythemas,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Prerenal failure,Renal failure and impairment,Renal disorders (excl nephropathies),Renal and urinary disorders
Positron emission tomogram breast abnormal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Congenital umbilical hernia,Gastrointestinal tract disorders congenital NEC,Gastrointestinal tract disorders congenital,"Congenital, familial and genetic disorders"
Tongue amyloidosis,Tongue disorders,Tongue conditions,Gastrointestinal disorders
Cardiac failure acute,Heart failures NEC,Heart failures,Cardiac disorders
Lacunar infarction,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Neovaginal infection,Female reproductive tract infections,Infections - pathogen unspecified,Infections and infestations
Lipoinjection,Soft tissue therapeutic procedures NEC,Soft tissue therapeutic procedures,Surgical and medical procedures
Aortic disorder,Site specific vascular disorders NEC,Vascular disorders NEC,Vascular disorders
Interferon gamma normal,Immune response protein analyses NEC,Immunology and allergy investigations,Investigations
Biliary tract operation,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures
CTLA4 deficiency,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Right ventricular diastolic collapse,Myocardial disorders NEC,Myocardial disorders,Cardiac disorders
Walking distance test,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Device embolisation,Vascular complications associated with device,Complications associated with device,General disorders and administration site conditions
Aortic necrosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Neoplasm malignant,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Subcision,Skin and subcutaneous tissue therapeutic procedures NEC,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures
Automatic positive airway pressure,Respiratory tract therapeutic procedures NEC,Respiratory tract therapeutic procedures,Surgical and medical procedures
Computerised tomogram pelvis abnormal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Chemical contraception,Contraceptive methods female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Myeloblast count decreased,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Hypohidrosis,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin and subcutaneous tissue disorders
Bone giant cell tumour benign,Bone neoplasms benign (excl cysts),Skeletal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Immune reconstitution inflammatory syndrome associated tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infections and infestations
Mitral valve prolapse,Mitral valvular disorders,Cardiac valve disorders,Cardiac disorders
Lymph node rupture,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders
5q minus syndrome,Myelodysplastic syndromes,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Systemic viral infection,Viral infections NEC,Viral infectious disorders,Infections and infestations
Bone graft lysis,Transplantation complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Urinary calculus removal,Urinary tract therapeutic procedures NEC,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Viral upper respiratory tract infection,Viral infections NEC,Viral infectious disorders,Infections and infestations
Phonophobia,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psychiatric disorders
Lung induration,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Foetal monitoring,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Muscle atrophy,Muscle related signs and symptoms NEC,Muscle disorders,Musculoskeletal and connective tissue disorders
Gastric stapling,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
