,LLT,PT
29142,post coital bleeding,coital bleeding
29143,vaginal adenocarcinoma stage ivb,vaginal adenocarcinoma
29144,atopic,atopy
29145,sensation of heaviness,discomfort
29146,lip pigmentation,pigmentation lip
29147,disorder endometrial,endometrial disorder
29148,injury to portal vein,venous injury
29149,stenotrophomonas maltophilia infection,stenotrophomonas infection
29150,mediastinal seminoma,extragonadal primary seminoma (pure)
29151,acquired tracheobronchomalacia,tracheomalacia
29152,chronic haematuria,haematuria
29153,syndrome respiratory distress newborn,neonatal respiratory distress syndrome
29154,periventricular hemorrhage neonatal,periventricular haemorrhage neonatal
29155,carcinoma uterine cervix stage iii,cervix carcinoma stage iii
29156,encephalitis herpes,meningoencephalitis herpetic
29157,ischemic neuropathy,ischaemic neuropathy
29158,small noncleaved follicular center cell lymphoma (high grade b-cell burkitt-like) stage iii,high grade b-cell lymphoma burkitt-like lymphoma stage iii
29159,acute infective bronchitis,bronchitis
29160,lead high,blood lead increased
29161,defective colour vision,colour blindness
29162,motor ataxia,ataxia
29163,neuromyelitis optica,neuromyelitis optica spectrum disorder
29164,poisoning by psychotropic agents,toxicity to various agents
29165,eczema seborrhoeic,seborrhoeic dermatitis
29166,chronic hepatitis c genotype 4g,chronic hepatitis c
29167,genital labial cyst,vulva cyst
29168,coordination impaired,coordination abnormal
29169,developmental language disorder,speech disorder developmental
29170,myxoedema juvenile,hypothyroidism
29171,"manufacturing laboratory analytical testing issue, sterility incorrectly performed",manufacturing laboratory analytical testing issue
29172,autoimmune haemolytic disease nos,autoimmune haemolytic anaemia
29173,improper needle recapping for disposal,incorrect disposal of product
29174,vulval neoplasm nos,vulval neoplasm
29175,disorder spleen,spleen disorder
29176,catheter site discoloration,catheter site discolouration
29177,disorder retinal,retinal disorder
29178,plasma oestradiol normal,oestradiol normal
29179,salmonella typhi test positive,salmonella test positive
29180,paraesthesia lips,paraesthesia oral
29181,recurrent respiratory tract infections,respiratory tract infection
29182,pleural mesothelioma benign,benign pleural mesothelioma
29183,iridoncus,iris neoplasm
29184,vascular access site contusion,vascular access site bruising
29185,bile duct clear cell adenocarcinoma,bile duct adenocarcinoma
29186,stent dislodgement,device dislocation
29187,primary hiv infection,acute hiv infection
29188,rectocolitis,colitis
29189,intervertebral foraminal encroachment,vertebral foraminal stenosis
29190,k+ increased,blood potassium increased
29191,"malaria, antepartum",malaria
29192,leukemia myelogenous,myeloid leukaemia
29193,cmv oesophagitis recurrent,cytomegalovirus oesophagitis
29194,upgoing plantars,extensor plantar response
29195,treponema pallidum antibody,treponema test
29196,acinic cell carcinoma,adenocarcinoma
29197,burkitt's tumour or lymphoma involving intra-abdominal lymph nodes,burkitt's lymphoma stage i
29198,monoclonal hypergammaglobulinaemia nos,monoclonal gammopathy
29199,lactic acid decreased,blood lactic acid decreased
29200,haemophilic arthritis,haemophilic arthropathy
29201,"arteriosclerotic dementia, uncomplicated",vascular dementia
29202,methaemoglobin urine positive,methaemoglobin urine present
29203,pulsus bisferiens,pulse abnormal
29204,duodenal atresia congenital,duodenal atresia
29205,nonketotic hyperglycemic-hyperosmolar coma,diabetic hyperosmolar coma
29206,plasma estrogen,blood oestrogen
29207,arterial blood pressure decreased,blood pressure decreased
29208,gamma glutamyl transpeptidase increased,gamma-glutamyltransferase increased
29209,bladder sling procedure,urinary bladder suspension
29210,rumpel-leede reaction,capillary fragility test
29211,"cutaneous, asian desert leishmaniasis",cutaneous leishmaniasis
29212,aspergillus infection nos,aspergillus infection
29213,pefr decreased,peak expiratory flow rate decreased
29214,submandibular adenitis,sialoadenitis
29215,chronic post nasal drip,upper-airway cough syndrome
29216,proarrhythmia,arrhythmia
29217,tracheostomy complication,tracheostomy malfunction
29218,fractured wrist,wrist fracture
29219,humphrey perimetry,visual field tests
29220,pneumocystis carinii infection,pneumocystis jirovecii infection
29221,"kaposi's sarcoma, lung",kaposi's sarcoma
29222,hyperchloraemic acidosis,acidosis hyperchloraemic
29223,centroblastic follicular (kiel classification) stage iii,"follicle centre lymphoma, follicular grade i, ii, iii stage iii"
29224,cardiopulmonary insufficiency,cardiopulmonary failure
29225,foot inversion deformity,foot deformity
29226,hemorrhoidal bleeding,haemorrhoidal haemorrhage
29227,t3 uptake decreased,tri-iodothyronine uptake decreased
29228,yeast infection,fungal infection
29229,hangover alcoholic,alcoholic hangover
29230,electro-oculogram,electrooculogram
29231,proliferative retinopathy,retinopathy proliferative
29232,"heat exhaustion, anhydrotic",heat exhaustion
29233,bad mood,mood altered
29234,peaked pupil,pupillary deformity
29235,abdominal scan nos normal,abdomen scan normal
29236,galactorrhoea not associated with childbirth,galactorrhoea
29237,retinal av nipping,retinopathy
29238,subjective fever,pyrexia
29239,emotional reaction,emotional disorder
29240,laxative abuse,drug abuse
29241,endotracheal tube disconnection,endotracheal intubation complication
29242,ovarian dysgerminoma stage ii b,ovarian dysgerminoma stage ii
29243,proctography,defecography
29244,urinary protein positive,protein urine present
29245,amphetamines nos high,amphetamines positive
29246,paranasal sinus mucocoele,paranasal cyst
29247,medical device site hyperesthesia,medical device site hyperaesthesia
29248,adenosquamous cell lung cancer nos,adenosquamous cell lung cancer
29249,obliterative bronchitis,bronchitis chronic
29250,computerized axial tomogram abnormal,computerised tomogram abnormal
29251,vitamin d low,vitamin d decreased
29252,plasma bicarbonate normal,blood bicarbonate normal
29253,toxic maculopathy of retina,maculopathy
29254,function tests multiple liver abnormal,liver function test abnormal
29255,angina at rest prinzmetal's,prinzmetal angina
29256,carcinoid tumor of the cecum metastatic,carcinoid tumour of the caecum
29257,estradiol decreased,oestradiol decreased
29258,non-autoimmune hemolytic anemia,haemolytic anaemia
29259,osler-weber-rendu disease,hereditary haemorrhagic telangiectasia
29260,necrotising enterocolitis,necrotising colitis
29261,cardiac hemolytic anemia,cardiac haemolytic anaemia
29262,stretch marks,skin striae
29263,unspecified hemorrhage of newborn,haemorrhage neonatal
29264,sibilus,wheezing
29265,tumour resection,tumour excision
29266,agranulocyte percentage,mononuclear cell percentage
29267,immune interferon therapy,gamma interferon therapy
29268,inferior vena cava embolism,vena cava embolism
29269,congenital cardiac septal defect nos,cardiac septal defect
29270,ruptured bladder,urinary bladder rupture
29271,product measured superpotent,product measured potency issue
29272,inferior mi,myocardial infarction
29273,anti-musk antibody positive,anti-muscle specific kinase antibody positive
29274,breast discharge infected male,breast discharge infected
29275,hiatus hernia specified as strangulated,hiatus hernia strangulated
29276,"tuberculosis of peripheral lymph nodes, confirmed by bacterial culture",tuberculosis of peripheral lymph nodes
29277,deficiency of b-complex components,vitamin b complex deficiency
29278,emi scan abnormal,computerised tomogram abnormal
29279,temperature body decrease,body temperature decreased
29280,malignant neoplasm of body of stomach recurrent,gastric cancer recurrent
29281,wrist sprain,ligament sprain
29282,laryngeal leucoplakia,laryngeal leukoplakia
29283,asymptomatic cerebral infarction,cerebral infarction
29284,precursor t-lymphoblastic lymphoma/leukemia stage ii,precursor t-lymphoblastic lymphoma/leukaemia stage ii
29285,retained ovarian follicle,ovarian cyst
29286,anemia cobalamin deficiency,anaemia vitamin b12 deficiency
29287,injury to facial nerve,viith nerve injury
29288,acute radiation sickness,radiation sickness syndrome
29289,congenital dislocation of knee (with genu recurvatum),congenital knee dislocation
29290,sonogram abnormal,ultrasound scan abnormal
29291,secondary prevention,prophylaxis
29292,ischemia,ischaemia
29293,oral candida albicans infection,oral candidiasis
29294,coagulation disorder neonatal (nos),coagulation disorder neonatal
29295,pricking skin sensation,paraesthesia
29296,hemorrhage of anterior chamber of eye,hyphaema
29297,alpers' disease,alpers disease
29298,placental gonadotropins decreased,human chorionic gonadotropin decreased
29299,congenital factor xi deficiency,factor xi deficiency
29300,progression of alzheimer's disease,dementia alzheimer's type
29301,interstitial nephritis chronic,tubulointerstitial nephritis
29302,fetal monitoring abnormal,foetal monitoring abnormal
29303,hematocrit low,haematocrit decreased
29304,ewing's tumor metastatic,ewing's sarcoma metastatic
29305,computerised tomogram face,computerised tomogram head
29306,cotton wool spots,retinal exudates
29307,chronic serous otitis media,otitis media chronic
29308,childhood audiometry abnormal,audiogram abnormal
29309,hypovitaminosis d,vitamin d deficiency
29310,tablet damaged,product physical issue
29311,urine human chorionic gonadotropin negative,human chorionic gonadotropin negative
29312,infection in an immunocompromized host,infection in an immunocompromised host
29313,linitis plastica stage i,gastric cancer stage i
29314,fibroepithelioma of pinkus,basal cell carcinoma
29315,infection of kidney,kidney infection
29316,planar xanthoma,xanthoma
29317,thyroid operation nos,thyroid operation
29318,sars-cov-2 infection,covid-19
29319,sle,systemic lupus erythematosus
29320,rheumatic mitral incompetence,mitral valve incompetence
29321,speaking valve insertion,laryngeal prosthesis placement
29322,localised itching,pruritus
29323,epidural hemorrhage,epidural haemorrhage
29324,mycosis fungoides involving lymph nodes of multiple sites,cutaneous t-cell lymphoma stage iv
29325,small intestine adenocarcinoma non-resectable,small intestine adenocarcinoma
29326,perforation of prepyloric ulcer,gastric ulcer perforation
29327,lumbosacral (joint) (ligament) sprain,ligament sprain
29328,esophageal adenocarcinoma thoracic stage unspecified,oesophageal adenocarcinoma
29329,climacteric discomfort,menopausal symptoms
29330,contusion of multiple sites of lower limb,contusion
29331,open lung biopsy,biopsy lung
29332,benign respiratory tract neoplasm nos,benign respiratory tract neoplasm
29333,oily hair,seborrhoea
29334,oesophageal squamous cell carcinoma cervical stage iii,oesophageal squamous cell carcinoma stage iii
29335,fallopian tube neoplasm nos,fallopian tube neoplasm
29336,diaphragmatic disorder nos,diaphragmatic disorder
29337,a2 pulley rupture,ligament rupture
29338,hypokalemia,hypokalaemia
29339,zinc,blood zinc
29340,"insect bite of foot and toe(s), non-venomous, infected",infected bite
29341,malignant neoplasm of nasopharynx stage i,nasopharyngeal cancer stage i
29342,chronic insomnia,insomnia
29343,drug overdose,overdose
29344,toxic effect of lacrimogenic gas,gas poisoning
29345,subchondral osteosclerosis,osteosclerosis
29346,bathyhypaesthesia,loss of proprioception
29347,monocyte morphology nos abnormal,monocyte morphology abnormal
29348,aids neuropathy,hiv peripheral neuropathy
29349,liver cell carcinoma recurrent,hepatocellular carcinoma
29350,stomach ulcer with haemorrhage,gastric ulcer haemorrhage
29351,intermittent pyrexia,pyrexia
29352,gastroenterostomy stomal ulcer,anastomotic ulcer
29353,hemiparesthesia,hemiparaesthesia
29354,pharyngodynia,oropharyngeal pain
29355,small cleaved follicular cell lymphoma (mantle cell lymphoma) recurrent,mantle cell lymphoma recurrent
29356,folliculitis keloidalis,dermatitis papillaris capillitii
29357,"anterior horn cell disease, unspecified",lower motor neurone lesion
29358,subacute myeloid leukemia (in remission),myeloid leukaemia in remission
29359,bronchial provocation test,pulmonary function challenge test
29360,adjustment reaction,adjustment disorder
29361,tracheo-laryngeal bronchitis,tracheobronchitis
29362,alcohol induced heart muscle disease,cardiomyopathy alcoholic
29363,dislocation of jaw,joint dislocation
29364,malignant hemangiopericytoma metastatic,malignant haemangiopericytoma metastatic
29365,mental exhaustion,mental fatigue
29366,delusion of persecution,persecutory delusion
29367,cervical pain,neck pain
29368,arterial oxygen partial pressure increased,po2 increased
29369,adenovirus urine test positive,adenovirus test positive
29370,female sex maturation accelerated,precocious puberty
29371,pineal neoplasm nos,pineal neoplasm
29372,purpura thrombopaenic thrombotic,thrombotic thrombocytopenic purpura
29373,small intestine perforation,small intestinal perforation
29374,"catatonic type schizophrenia, in remission",schizophrenia
29375,herpes simplex antibody positive,herpes simplex test positive
29376,retinoschisis nos,retinoschisis
29377,decreased hdl,high density lipoprotein decreased
29378,injury to hepatic veins,venous injury
29379,oral leukoplakia nos,leukoplakia oral
29380,fractured ethmoid,skull fractured base
29381,uvula swelling,enlarged uvula
29382,markedly increased food intake,hyperphagia
29383,acute lymphocytic leukemia recurrent,acute lymphocytic leukaemia recurrent
29384,"blister, infected of face, neck and scalp except eye",blister infected
29385,varicella zoster esophagitis,varicella zoster oesophagitis
29386,lichenoid dermatitis,lichenoid keratosis
29387,fat deposit facial,fat tissue increased
29388,segawa syndrome,dopa-responsive dystonia
29389,intrahepatic bile duct cancer nos,cholangiocarcinoma
29390,erythaema polymorphe,erythema multiforme
29391,implant site blisters,implant site vesicles
29392,histoplasma capsulatum meningitis,meningitis histoplasma
29393,chronic lymphocytic leukaemia stage a(i),chronic lymphocytic leukaemia stage 1
29394,familial pulmonary arterial hypertension,pulmonary arterial hypertension
29395,transient systolic hypotension,hypotension
29396,arterial embolism limb,peripheral embolism
29397,nail bed hemorrhage,nail bed bleeding
29398,mrsa meningitis,meningitis staphylococcal
29399,prostate cancer stage b,prostate cancer stage ii
29400,csf cell count nos,csf cell count
29401,tylosis,hyperkeratosis
29402,gonococcal cystitis (acute),cystitis gonococcal
29403,plasmocytosis,plasmacytosis
29404,cardiac failure right,right ventricular failure
29405,ureteral neoplasm nos,ureteral neoplasm
29406,sensory peripheral neuropathies,peripheral sensory neuropathy
29407,malt workers' lung,hypersensitivity pneumonitis
29408,adenocarcinoma with squamous cell carcinoma of the bladder stage iii,bladder adenocarcinoma stage iii
29409,macroprolactinemia,macroprolactinaemia
29410,renal hematoma,renal haematoma
29411,gonadotropic lh decreased,blood luteinising hormone decreased
29412,haemangioma nos,haemangioma
29413,sars-cov-2 pneumonia,covid-19 pneumonia
29414,neuropraxia,nerve injury
29415,loefgren syndrome,sarcoidosis
29416,pneumonia gram-negative bacterial nos,pneumonia bacterial
29417,syndrome cerebellar,cerebellar syndrome
29418,diffuse small cleaved cell lymphoma (intestinal t-cell lymphoma) (working formulation) refractory,intestinal t-cell lymphoma refractory
29419,hare lip repair,cleft lip repair
29420,mobitz type ii,atrioventricular block second degree
29421,ill feeling,malaise
29422,device readings not obtained,device information output issue
29423,bare metal stent reocclusion,vascular stent occlusion
29424,creatine kinase mb increased,blood creatine phosphokinase mb increased
29425,cervical carcinoma recurrent,cervix carcinoma recurrent
29426,pigmentation of colon mucosa,gastrointestinal tract mucosal pigmentation
29427,"fetal growth retardation, unspecified {weight}",foetal growth restriction
29428,"talipes, unspecified",talipes
29429,anesthetic induction,induction of anaesthesia
29430,"periostitis, without mention of osteomyelitis, involving hand",periostitis
29431,"disease of nail, unspecified",nail disorder
29432,unspecified testicular dysfunction,testicular disorder
29433,lactation male,galactorrhoea
29434,iodine uptake low,iodine uptake decreased
29435,blind left eye,blindness unilateral
29436,mucinous carcinoma,adenocarcinoma
29437,indirect coombs test,coombs indirect test
29438,type i diabetes mellitus with ketoacidosis,diabetic ketoacidosis
29439,spinal fusion congenital,congenital spinal fusion
29440,inflammatory edema reaction,oedema
29441,carcinomatous peritonitis,malignant ascites
29442,noise induced hearing loss,deafness traumatic
29443,spinocerebellar disorder nos,spinocerebellar disorder
29444,small intestine metastases,intestinal metastasis
29445,birth defects,congenital anomaly
29446,hepatitis c virus genotype 3c positive,hepatitis c virus test positive
29447,rectal cleansing,enema administration
29448,thallium stress test,scan myocardial perfusion
29449,perimenopausal symptoms,menopausal symptoms
29450,positive rombergism,romberg test positive
29451,uterine leiomyoma embolization,uterine leiomyoma embolisation
29452,post inflammatory hydrocephalus,hydrocephalus
29453,pancreas electron beam therapy,electron radiation therapy to pancreas
29454,malignant neoplasm of cheek mucosa,lip and/or oral cavity cancer
29455,carcinoid tumor,carcinoid tumour
29456,hematocrit decreased,haematocrit decreased
29457,abdominal wall abscess drainage,abscess drainage
29458,uterine cervical motion tenderness,uterine cervical pain
29459,poisoning by ganglion-blocking agents,toxicity to various agents
29460,vitamin e supplementation,vitamin supplementation
29461,ovarian germ cell polyembryoma stage ii a,ovarian germ cell polyembryoma stage ii
29462,kidney graft dysfunction,complications of transplanted kidney
29463,corneal guttata,corneal dystrophy
29464,angiocentric immunoproliferative lesion grade 2 stage i,angiocentric lymphoma stage i
29465,dilated pore of winer,hair follicle tumour benign
29466,root canal procedure,endodontic procedure
29467,tularemia,tularaemia
29468,pet scan abnormal,positron emission tomogram abnormal
29469,tendonitis exacerbated,tendonitis
29470,vertebrectomy,spinal corpectomy
29471,buccal smear abnormal,smear buccal abnormal
29472,large cell carcinoma of the respiratory tract stage unspecified,large cell lung cancer
29473,candidemia,systemic candida
29474,eeg photoparoxysmal response,electroencephalogram abnormal
29475,phobic anxiety,anxiety
29476,urinary test abnormal,urine analysis abnormal
29477,arthrography,arthrogram
29478,staphylococcal food poisoning,gastroenteritis staphylococcal
29479,failure circulatory,circulatory collapse
29480,granulocyte count high,granulocyte count increased
29481,myelodysplastic syndrome nos,myelodysplastic syndrome
29482,jejunal oesophageal interposition,oesophagoplasty
29483,salt deficiency,hyponatraemia
29484,asymptomatic hemorrhagic transformation of infarction,haemorrhagic transformation stroke
29485,appetite disorder nos,appetite disorder
29486,pupillary reflex absent,pupillary reflex impaired
29487,glucocorticoids nos abnormal,glucocorticoids abnormal
29488,fracture internal fixation,internal fixation of fracture
29489,grade 3 hypertensive fundus,retinopathy hypertensive
29490,leukemia eosinophilic,eosinophilic leukaemia
29491,bronchopulmonary infection,pneumonia
29492,retractile testes,testicular retraction
29493,hypolipoproteinemia,hypolipidaemia
29494,anaesthetic complication epidural,anaesthetic complication
29495,panhypopituitarism,hypopituitarism
29496,direct bilirubin decreased,bilirubin conjugated decreased
29497,"retained (old) intraocular foreign body, magnetic",foreign body in eye
29498,carrier solution use,vehicle solution use
29499,skin candida nos,skin candida
29500,catheter site hives,catheter site urticaria
29501,disease hepatocellular,hepatocellular injury
29502,malignant neoplasm of cerebellum nos,brain neoplasm malignant
29503,muscular ventricular septal defect,ventricular septal defect
29504,thromboarteritis,arteritis
29505,"open dislocation, fifth cervical vertebra",dislocation of vertebra
29506,macropsia,dysmetropsia
29507,common bile duct calculus,bile duct stone
29508,laryngeal squamous cell carcinoma metastatic,laryngeal squamous cell carcinoma
29509,pseudesthesia,sensory disturbance
29510,renal pelvis and ureter transitional cell cancer localized,transitional cell cancer of the renal pelvis and ureter localised
29511,hair aluminum,hair metal test
29512,raynauds phenomena of feet,raynaud's phenomenon
29513,perisigmoiditis,large intestine infection
29514,tumor associated fever,tumour associated fever
29515,squamous cell carcinoma of the vagina stage i,squamous cell carcinoma of the vagina
29516,cerebrospinal fluid oligoclonal band abnormal,csf oligoclonal band present
29517,calcaneus fracture,foot fracture
29518,narcotic ileus,ileus paralytic
29519,soft tissue necrosis lower limb,soft tissue necrosis
29520,common variable immunodeficiency,immunodeficiency common variable
29521,thyroid papillary carcinoma,papillary thyroid cancer
29522,malignant hyperthermia,hyperthermia malignant
29523,corticosterone low,blood corticosterone decreased
29524,mlh1 mutation,dna mismatch repair protein gene mutation
29525,"manufacturing laboratory analytical testing issue, sterility not performed or documented",manufacturing laboratory analytical testing issue
29526,multiple pregnancy with foetal deaths in utero,foetal death
29527,serum lactic dehydrogenase increased,blood lactate dehydrogenase increased
29528,urothelial carcinoma ureter regional,transitional cell cancer of the renal pelvis and ureter regional
29529,cytomegalovirus viremia,cytomegalovirus viraemia
29530,radiotherapy to pelvis,radiotherapy
29531,orthostatic presyncope,presyncope
29532,"acute miliary tuberculosis, unspecified examination",disseminated tuberculosis
29533,korsakoff's psychosis alcoholic,korsakoff's syndrome
29534,life weariness,suicidal ideation
29535,tablet in stool,product residue present
29536,subfoveal localised retinal detachment,retinal detachment
29537,aortic aneurysm haemorrhage,aortic aneurysm rupture
29538,gastric carcinoma stage iv without metastases,gastric cancer stage iv
29539,arthropod-borne hemorrhagic fever,haemorrhagic fever
29540,thyroid hormone binding index decreased,thyroxin binding globulin decreased
29541,laryngeal squamous cell carcinoma recurrent,laryngeal squamous cell carcinoma
29542,"seborrhoeic dermatitis, unspecified",seborrhoeic dermatitis
29543,varus gonarthrosis,osteoarthritis
29544,struma,goitre
29545,"benign essential hypertension, postpartum",essential hypertension
29546,post abortion bleeding,post abortion haemorrhage
29547,hyporeninemic hypoaldosteronism,hypoaldosteronism
29548,necrolysis epidermal,toxic epidermal necrolysis
29549,"obstetrical blood-clot embolism, antepartum",obstetrical pulmonary embolism
29550,papilledema,papilloedema
29551,kidney tubular necrosis,renal tubular necrosis
29552,retro-pharyngeal abscess drainage,abscess drainage
29553,phlebolymphedema,lymphoedema
29554,lobular carcinoma of breast,invasive lobular breast carcinoma
29555,sea sickness symptom,motion sickness
29556,ischialgia,sciatica
29557,posterior cruciate ligament tear,ligament rupture
29558,ameba test negative,amoeba test negative
29559,chemoprophylaxis nos,prophylactic chemotherapy
29560,hyperaesthesia of feet,hyperaesthesia
29561,pancreas photon radiation therapy,photon radiation therapy to pancreas
29562,sars-cov-2 elisa test,sars-cov-2 antibody test
29563,idiopathic myocarditis,myocarditis
29564,cerebrovascular surgery,cerebrovascular operation
29565,seton placement,drain placement
29566,pulmonary carcinoma cell type unspecified stage iii,lung carcinoma cell type unspecified stage iii
29567,clostridium difficile septicemia,clostridial sepsis
29568,blind right eye,blindness unilateral
29569,cytomegalovirus antigen positive,cytomegalovirus test positive
29570,cleft lip repair with palate,cleft lip repair
29571,anaemia pyridoxine deficiency,anaemia vitamin b6 deficiency
29572,analgesic intervention nos supportive therapy,analgesic intervention supportive therapy
29573,torsion of testis,testicular torsion
29574,malformations multiple,multiple congenital abnormalities
29575,orbital biopsy,biopsy bone
29576,allergen nos skin test positive,skin test positive
29577,flat retinoschisis,retinoschisis
29578,gum blue line,metal poisoning
29579,jaundice extrahepatic obstructive nos,jaundice extrahepatic obstructive
29580,extrasystoles bigeminal,extrasystoles
29581,eczema of external auditory meatus,eczema
29582,pstpip1-associated myeloid-related proteinemia inflammatory syndrome,pstpip1-associated myeloid-related proteinaemia inflammatory syndrome
29583,goiter exophthalmic,basedow's disease
29584,sjia,still's disease
29585,rectal pressure severe,anorectal discomfort
29586,uric acid nephrolithiasis,nephrolithiasis
29587,hemorrhage muscle,muscle haemorrhage
29588,fractured vertebra,spinal fracture
29589,product contamination fungal,product contamination microbial
29590,pericarditis epistenocardiaca,pericarditis
29591,recurrent cardiac decompensation,cardiac failure
29592,perforation post colonoscopy,procedural intestinal perforation
29593,poisoning by antibiotic drugs,toxicity to various agents
29594,haemoglobinopathy nos,haemoglobinopathy
29595,thoracic root pain,radicular pain
29596,inappropriate drug titration,drug titration error
29597,subicteric,jaundice
29598,blood dihydrotestosterone increased,dihydrotestosterone increased
29599,ocular perforation,open globe injury
29600,hemochromatosis trait,haemochromatosis trait
29601,hyperpnoea,hyperventilation
29602,hemangiopericytoma recurrent,haemangiopericytoma
29603,electrolyte and fluid balance disorder nos,electrolyte imbalance
29604,acid phosphatase increased,blood acid phosphatase increased
29605,bronchitis nos,bronchitis
29606,thoracic radiculitis,thoracic radiculopathy
29607,pain oral,oral pain
29608,rolling hiatal hernia,hiatus hernia
29609,anastomotic ulcer bleeding,anastomotic ulcer haemorrhage
29610,haemolytic autoimmune anaemia dcp,coombs positive haemolytic anaemia
29611,"osteoporosis, unspecified",osteoporosis
29612,haemophilus influenza pneumonia,pneumonia haemophilus
29613,serum follicle stimulating hormone abnormal,blood follicle stimulating hormone abnormal
29614,thrombosis pulmonary artery,pulmonary artery thrombosis
29615,vitamin toxicity,hypervitaminosis
29616,polyarteritis nodosum,polyarteritis nodosa
29617,biopsy fetal normal,biopsy foetal normal
29618,malignant neoplasm of bronchus and lung stage ii,lung carcinoma cell type unspecified stage ii
29619,paralysis of intestine,ileus paralytic
29620,leukemia lymphocytic,lymphocytic leukaemia
29621,late effects of genitourinary tuberculosis,tuberculosis of genitourinary system
29622,below ankle amputation,foot amputation
29623,cortical opacity,lenticular opacities
29624,free t3 normal,tri-iodothyronine free normal
29625,diffuse small cleaved cell lymphoma (nodal marginal zone b-cell lymphoma) (working formulation),nodal marginal zone b-cell lymphoma
29626,il-8 therapy,interleukin therapy
29627,laryngopharyngeal reflux,reflux laryngitis
29628,hypocholesteremia,hypocholesterolaemia
29629,anti-ss-a antibody positive,antinuclear antibody positive
29630,isolated acth deficiency,adrenocorticotropic hormone deficiency
29631,hiatus hernia repair,hernia hiatus repair
29632,periorbital paresthesia,paraesthesia
29633,viith nerve paralysis,facial paralysis
29634,multiple gastric erosions,gastritis erosive
29635,"blisters, with epidermal loss due to burn (second degree) of ear (any part)",burns second degree
29636,wandering around,patient elopement
29637,chronic hepatitis c genotype 2c,chronic hepatitis c
29638,full mouth x-ray of teeth abnormal,x-ray dental abnormal
29639,spinal canal stenosis,spinal stenosis
29640,cardiac catheterization normal,catheterisation cardiac normal
29641,congenital atransferrinemia,congenital hypotransferrinaemia
29642,peripheral neuroepithelioma of bone nos,peripheral neuroepithelioma of bone
29643,cyst epidermal,dermal cyst
29644,female reproductive tract neoplasm nos,female reproductive neoplasm
29645,swollen elbows,joint swelling
29646,skin colouring yellow,yellow skin
29647,oro-facial spasm,facial spasm
29648,traumatic deafness (noise induced),deafness traumatic
29649,coma vigil,depressed level of consciousness
29650,malignant neoplasm of pyloric antrum in situ,gastric cancer stage 0
29651,gm1 gangliosidosis,galactosialidosis
29652,syndrome stokes-adams,adams-stokes syndrome
29653,schmincke-regaud tumour,undifferentiated nasopharyngeal carcinoma
29654,hiv with persistent generalized adenopathy,persistent generalised lymphadenopathy
29655,postauricular lymphadenitis,lymphadenitis
29656,application site maceration,application site reaction
29657,encephalitis post immunization,encephalitis post immunisation
29658,pre-patellar bursitis,bursitis
29659,stomach cancer stage 0,gastric cancer stage 0
29660,femoral nerve lesion,peripheral nerve lesion
29661,plasma placental gonadotrophins decreased,human chorionic gonadotropin decreased
29662,arteriovenous fistula excision,arteriovenous fistula operation
29663,enhanced visualization of malignant tissue during surgery,photodynamic diagnostic procedure
29664,latent hypothyroidism,hypothyroidism
29665,"naevus, non-neoplastic",birth mark
29666,protozoal disease carrier,infectious disease carrier
29667,aggregation platelet abnormal,platelet aggregation abnormal
29668,failure kidney,renal failure
29669,hereditary renal microhematuria,hereditary renal microhaematuria
29670,lienitis,splenitis
29671,olfactory acuity test,olfactory test
29672,adh decreased,blood antidiuretic hormone decreased
29673,malignant neoplasm of anterior wall of nasopharynx stage ii,nasopharyngeal cancer stage ii
29674,rectal biopsy normal,biopsy rectum normal
29675,sphingomyelin lipidosis,niemann-pick disease
29676,varicella zoster,varicella zoster virus infection
29677,neoplasm of unspecified nature of digestive system,gastrointestinal neoplasm
29678,antibiotic level nos above therapeutic,antibiotic level above therapeutic
29679,disc neovascularization,retinal neovascularisation
29680,foetal hydantoin syndrome,foetal anticonvulsant syndrome
29681,female hormone profile,female sex hormone level
29682,functional flow murmur,cardiac murmur functional
29683,liver resection,hepatectomy
29684,medial sclerosis,arteriosclerosis moenckeberg-type
29685,otogenic pain,ear pain
29686,burn of unspecified degree of multiple sites of lower limb(s),thermal burn
29687,chlamydia pneumoniae pneumonia,pneumonia chlamydial
29688,paranoid state,paranoia
29689,carcinoma in situ of cervix uteri,cervix carcinoma stage 0
29690,disturbance of liver function tests,liver function test abnormal
29691,progression of pre-existing cancer,malignant neoplasm progression
29692,biopsy nos normal,biopsy site unspecified normal
29693,acute hemorrhagic ulcerative colitis,acute haemorrhagic ulcerative colitis
29694,extrasystoles multifocal,extrasystoles
29695,unspecified crystal arthropathy involving shoulder region,crystal arthropathy
29696,eczema aggravated,eczema
29697,extrauterine pregnancy,ectopic pregnancy
29698,birth twin,twin pregnancy
29699,harris's migrainous neuralgia,cluster headache
29700,international normalised ratio abnormal nos,international normalised ratio abnormal
29701,lymphoepithelial malignant thymoma invasive,thymoma malignant
29702,inflammatory arthritis,arthritis
29703,radiofrequency vein ablation,endovenous ablation
29704,serum noradrenaline increased,norepinephrine increased
29705,malignant neoplasm of lateral wall of nasopharynx stage 0,nasopharyngeal cancer stage 0
29706,mucosal biopsy nos normal,biopsy mucosa normal
29707,vascular scaffold stenosis,vascular stent stenosis
29708,blue naevus-like melanoma,malignant melanoma
29709,cyp2c9 poor metabolizer status,cyp2c9 polymorphism
